,VIVO4,AMBV4,ARCZ6,ARCE3,BBDC4,BRAP4,BBAS3,BRTP3,BRTP4,BRKM5,CCRO3,CMIG4,CPLE6,CSAN3,CPFE3,CYRE3,ELET3,ELET6,EMBR3,GGBR4,GOAU4,GOLL4,PTIP4,ITSA4,ITUB4,KLBN4,LIGT3,LAME4,LREN3,NATU3,NETC4,PCAR4,PETR3,PETR4,RSID3,SBSP3,SDIA4,CSNA3,CRUZ3,SUBA3,TAMM4,VCPA4,TNLP3,TNLP4,TMAR5,TCSL4,UBBR11,USIM5,VALE3,VALE5,ALLL11
2006-09-18,23.27,15.87,10.56,35.03,4.511,6.9080491065979,6.8826422691345215,24.26,11.63,7.113229274749756,3.0999786853790283,2.477109670639038,1.014,5.249705314636231,5.87642240524292,6.1537394523620605,9.768403053283691,7.924,18.61710548400879,9.722685813903809,10.426124572753906,70.57148742675781,16.51,2.26123595237732,6.77997636795044,,8.611222267150879,1.756,3.173123359680176,8.86,21.43,47.26,10.032814979553224,7.770322799682617,268.4756774902344,5.7029709815979,5.83,5.38613224029541,4.44,39.43,64.77,30.35,42.04,17.64,28.12,5.51,14.93,10.765910148620604,11.025534629821776,13.12,18.02
2006-09-19,22.93,15.84,10.85,34.41,4.443,6.772764682769775,6.768641471862793,23.37,11.48,6.895124435424805,3.02230167388916,2.4405276775360107,1.0,5.107213020324707,5.864070892333984,6.05783748626709,9.830660820007324,7.72,18.667896270751957,9.469101905822754,10.349769592285156,71.7927474975586,16.36,2.2220778465271,6.716329574584961,,8.342439651489258,1.74,3.068948268890381,8.61,21.11,45.94,9.838265419006348,7.596247673034668,260.7098083496094,5.69156551361084,5.68,5.24079179763794,4.43,38.54,64.48,33.35,42.08,17.3,27.29,5.44,14.6,10.592796325683594,10.896251678466797,12.83,17.53
2006-09-20,22.25,15.84,10.93,33.11,4.422,6.664348602294922,6.569144248962402,22.31,11.03,6.815811634063721,2.946038007736206,2.4405276775360107,0.978,5.036716938018799,5.847604274749756,5.738162994384766,9.489304542541504,7.524,18.972679138183597,9.356760025024414,9.982157707214355,71.78343200683594,15.8,2.433519124984741,6.66783618927002,,7.987442493438721,1.686,3.041407823562622,8.66,20.43,44.76,9.535134315490724,7.397299766540527,255.16282653808597,5.69156551361084,5.61,5.134779453277588,4.38,38.52,64.67,34.99,41.38,16.95,26.87,5.24,14.69,10.388360023498535,10.708430290222168,12.44,16.81
2006-09-21,22.08,15.25,10.75,32.72,4.326,6.560725688934326,6.269900798797607,21.92,10.95,6.632405281066895,2.8951964378356934,2.367363929748535,0.938,4.574743270874023,5.874362468719482,5.450456142425537,9.231675148010254,7.371,18.667896270751957,9.372806549072266,9.982157707214355,69.21507263183594,16.15,2.190265655517578,6.465784072875977,,7.657800674438477,1.662,2.97459077835083,8.24,19.95,45.26,9.64824390411377,7.397299766540527,245.73291015625,5.656829357147217,5.56,5.067239284515381,4.4,37.2,63.0,33.9,40.1,16.4,26.54,5.31,14.4,10.386713981628418,10.925525665283203,12.72,16.12
2006-09-22,21.76,15.76,10.67,33.3,4.326,6.668186187744141,6.469397068023682,22.02,11.07,6.746414661407471,2.9163801670074463,2.3203296661376958,0.932,4.454749584197998,5.835254669189453,5.434472560882568,9.231675148010254,7.49,18.54937171936035,9.273303031921388,9.956707954406738,72.2041244506836,16.58,2.14132022857666,6.384959697723389,,8.06351375579834,1.695,2.85940170288086,8.25,20.48,45.34,9.569068908691406,7.3743486404418945,239.520263671875,5.553138256072998,5.53,5.079207420349121,4.32,36.74,64.25,33.9,41.3,16.7,27.39,5.3,14.27,10.253168106079102,10.745017051696776,12.57,16.12
2006-09-25,21.52,15.87,10.42,32.97,4.402,6.466700553894043,6.563450813293457,22.59,11.06,6.741458415985107,3.071732997894287,2.3203296661376958,0.956,4.169765949249268,5.670590400695801,5.402505397796631,9.81134033203125,7.933,18.667896270751957,9.099968910217283,9.951051712036133,74.0535888671875,16.54,2.3446850776672363,6.415269374847412,,8.164941787719727,1.662,2.873769521713257,8.26,20.95,46.22,9.614312171936035,7.326523780822754,242.9593963623047,5.553138256072998,5.62,4.992859363555908,4.27,37.2,66.06,33.81,42.57,17.02,27.74,5.13,14.69,10.1212739944458,10.664525032043455,12.42,16.12
2006-09-26,22.21,16.06,10.79,35.32,4.415,6.4762959480285645,6.768641471862793,24.57,11.66,6.860424995422363,3.0646705627441406,2.393493413925171,0.996,4.492247104644775,5.631484508514404,5.834065437316895,9.830660820007324,7.907,18.625566482543945,9.11601448059082,9.951051712036133,74.04425048828125,17.21,2.107060670852661,6.477907180786133,,8.41343879699707,1.678,2.993511438369751,8.1,21.53,46.39,9.817907333374023,7.360954761505127,255.0518798828125,5.714118480682373,5.6,5.24079179763794,4.22,39.8,67.07,33.7,45.31,17.68,29.25,5.2,14.88,10.584552764892578,11.062125205993652,12.73,16.69
2006-09-27,21.91,15.92,10.64,36.71,4.443,6.8025102615356445,6.747267723083496,24.82,11.85,6.736501216888428,3.029364109039306,2.398719787597656,1.003,4.889726161956787,5.742630958557129,5.866034030914307,9.832809448242188,8.026,18.54090118408203,9.340707778930664,10.052854537963867,71.98928833007812,17.12,2.163346767425537,6.495082855224609,,8.114226341247559,1.736,2.9695613384246826,8.15,21.16,45.66,10.111990928649902,7.489124298095703,253.3877868652344,5.967901229858398,5.76,5.292087554931641,4.25,39.08,66.82,33.21,44.79,17.67,28.9,5.2,14.87,10.634016036987305,11.257265090942385,13.12,16.92
2006-09-28,23.76,16.08,10.72,36.96,4.436,6.8121018409729,6.781470775604248,24.96,11.84,6.726587295532227,2.9658102989196777,2.372589588165283,1.022,5.36969804763794,5.771448135375977,5.789310932159424,10.111906051635742,8.256,18.03293800354004,9.382439613342283,10.109408378601074,70.52277374267578,17.12,2.153557300567627,6.587013244628906,,8.104084014892578,1.752,3.015063762664795,8.03,21.31,45.95,10.247723579406738,7.651723861694336,260.1551513671875,5.829732894897461,5.84,5.300637245178223,4.27,39.08,64.84,34.08,44.45,17.74,29.22,5.26,15.04,10.767559051513672,11.340202331542969,13.28,16.92
2006-09-29,23.23,16.0,10.32,36.96,4.422,6.945467948913574,6.768641471862793,24.87,11.64,6.706759452819824,2.9658102989196777,2.372589588165283,1.029,5.257204055786133,5.796147346496582,5.912386894226074,10.305129051208496,8.452,18.03293800354004,9.526881217956545,10.194241523742676,70.05574035644531,16.83,2.2147371768951416,6.576912879943848,,8.012801170349121,1.748,3.0174570083618164,8.2,20.63,45.0,10.259035110473633,7.758846759796143,260.1551513671875,5.645423412322998,5.82,5.300637245178223,4.22,38.09,63.11,33.62,45.13,18.05,29.29,5.19,14.87,10.716447830200195,11.42801570892334,13.37,16.83
