,AMBV4,ARCZ6,BBDC4,BBAS3,BRTP4,CMIG4,CPLE6,CRTP5,ELET3,ELET6,ELPL4,EMBR3,EMBR4,EBTP3,EBTP4,GGBR4,ITSA4,ITUB4,PETR3,PETR4,SBSP3,CSNA3,CSTB4,CRUZ3,VCPA4,TCOC4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TSPP4,TCSL4,USIM5,VALE3,VALE5
2003-09-05,9.31,6.36,1.257,2.409636974334717,17.57,3087.44580078125,0.381,39.23,4.942167282104492,4.477,7.48,10.582704544067385,15.87,2.67,2.63,2.722259759902954,0.7790970206260681,2.4044620990753174,3.9644887447357178,2.950810432434082,3.0370917320251465,2.934587240219116,58.8,2.86,23.47,16.03,17.62,20.25,24.07,28.66,9.703102111816406,10.3,2.49,3.050065517425537,4.6346282958984375,5.94
2003-09-08,9.16,6.4,1.257,2.40108585357666,17.41,3097.290283203125,0.4,40.72,4.894935607910156,4.477,7.87,10.40492057800293,15.67,2.79,2.83,2.649986743927002,0.7710380554199219,2.3590002059936523,3.9588334560394287,2.945347309112549,2.983950614929199,2.870466470718384,58.59,2.86,23.84,17.15,17.87,20.26,24.35,29.41,9.816308975219728,11.06,2.49,2.9511446952819824,4.716343879699707,5.99
2003-09-09,8.71,6.21,1.209,2.38683819770813,16.66,3042.7001953125,0.392,40.55,4.637307167053223,4.332,8.62,10.159401893615724,15.27,2.76,2.79,2.5596466064453125,0.7495458126068115,2.2801973819732666,3.8457229137420654,2.8697781562805176,2.981616973876953,2.7208516597747803,57.7,2.84,23.23,17.09,17.57,19.92,24.25,29.24,9.50904369354248,10.95,2.39,2.8604676723480225,4.66715145111084,5.91
2003-09-10,8.79,6.19,1.237,2.436710834503174,16.59,3221.68310546875,0.402,40.55,4.916404724121094,4.613,9.12,10.15093231201172,15.1,2.84,2.86,2.6487834453582764,0.7495458126068115,2.348896741867065,3.901712894439697,2.9180328845977783,3.076234579086304,2.7080271244049072,57.11,2.95,22.68,17.22,17.98,20.06,24.35,31.0,9.541385650634766,11.03,2.41,2.842332124710083,4.602105140686035,5.84
2003-09-11,8.83,6.23,1.264,2.422461748123169,16.95,3311.173583984375,0.417,40.47,5.1632981300354,4.877,8.79,10.07473850250244,15.28,2.92,2.95,2.7939293384552,0.7629783749580383,2.374152898788452,3.885313510894776,2.913481950759888,3.1568539142608643,2.7977957725524902,57.61,2.9,22.8,17.85,18.58,20.54,25.02,31.5,9.54462432861328,11.35,2.46,2.843980312347412,4.6346282958984375,5.88
2003-09-12,8.78,6.44,1.244,2.470911026000977,16.49,3355.9189453125,0.419,40.3,5.515391826629639,5.09,8.68,10.09167194366455,15.27,3.01,3.05,2.8005542755126958,0.7361127138137817,2.3236396312713623,3.891534090042114,2.9271390438079834,3.134559869766236,2.930311679840088,57.96,2.88,23.52,18.05,18.69,20.55,25.39,31.84,9.67076301574707,11.27,2.52,2.985767602920532,4.67528247833252,5.98
2003-09-15,8.58,6.59,1.216,2.422461748123169,15.85,3354.13037109375,0.431,40.3,5.77516508102417,5.243,8.28,9.896949768066406,14.64,3.05,3.11,2.728281259536743,0.7414860129356384,2.26302433013916,3.7891695499420166,2.863406181335449,3.0718274116516118,2.8063459396362305,57.53,2.84,23.93,18.14,18.91,20.95,25.09,33.09,9.864824295043944,11.37,2.52,2.942900896072388,4.541528224945068,5.8
2003-09-16,8.58,6.74,1.209,2.4295876026153564,15.43,3355.0244140625,0.439,39.88,5.667819976806641,5.192,8.28,9.90541172027588,14.82,3.0,3.07,2.710214138031006,0.7361127138137817,2.2589828968048096,3.8033082485198975,2.879338026046753,3.1337833404541016,2.836268424987793,58.49,2.97,24.1,18.26,18.42,20.49,24.45,33.09,10.091229438781738,11.35,2.46,2.9923617839813232,4.67528247833252,5.82
2003-09-17,8.47,6.83,1.216,2.4580864906311035,16.11,3342.495361328125,0.443,39.87,6.011324882507324,5.285,8.75,10.023938179016112,15.08,3.02,3.18,2.7192482948303223,0.7253662347793579,2.26302433013916,3.783514022827149,2.867957592010498,3.1107120513916016,2.911076068878174,59.19,2.93,24.62,18.46,18.53,20.85,25.24,33.93,10.084763526916504,11.59,2.49,3.0088486671447754,4.696015357971191,5.84
2003-09-18,8.69,6.89,1.209,2.431011915206909,16.89,3320.121826171875,0.433,41.58,5.721492767333984,5.158,8.51,9.99007511138916,15.22,3.09,3.28,2.7403271198272705,0.7361127138137817,2.252922296524048,3.7778587341308594,2.872510433197021,3.04149866104126,3.020080804824829,60.86,2.94,24.93,19.63,19.78,21.98,26.59,36.04,10.398494720458984,12.48,2.6,3.050065517425537,4.817573070526123,6.0
