,VIVO4,AMBV4,ARCZ6,ARCE3,BBDC4,BRAP4,BBAS3,BRTP3,BRTP4,BRKM5,CCRO3,CMIG4,CESP6,CPLE6,CSAN3,CPFE3,CYRE3,DURA4,ELET3,ELET6,EMBR3,GGBR4,GOAU4,GOLL4,PTIP4,ITSA4,ITUB4,KLBN4,LIGT3,LAME4,LREN3,NATU3,NETC4,PCAR4,PETR3,PETR4,RSID3,SBSP3,SDIA4,CSNA3,CRUZ3,SUBA3,TAMM4,VCPA4,TNLP3,TNLP4,TMAR5,TCSL4,UBBR11,USIM5,VALE3,VALE5,ALLL11
2007-01-04,27.8,16.84,12.79,39.85,5.413,9.45539379119873,9.533103942871094,31.45,15.79,7.584140777587891,4.095642566680908,2.889961242675781,11.97,1.062,6.587630271911621,5.948460578918457,6.892189979553223,31.43,10.755976676940918,8.826,18.566303253173828,11.303813934326172,12.6226806640625,58.89410018920898,19.64,2.735997438430786,7.880176067352295,,11.948199272155762,2.491,3.999328374862671,9.35,25.41,59.03,11.763392448425291,9.426880836486816,289.5543518066406,6.77435302734375,7.41,5.3262858390808105,4.87,65.56,60.45,40.34,37.68,19.21,30.54,6.17,18.99,12.703113555908203,14.928373336791992,17.33,21.64
2007-01-05,26.13,16.34,12.59,38.86,5.174,8.94304370880127,9.119857788085938,30.63,14.84,7.118185520172119,4.080106735229492,2.75931167602539,11.725,0.996,6.074659824371338,5.804379463195801,6.87300968170166,30.34,10.305129051208496,8.588,17.829748153686523,10.833501815795898,11.91982364654541,56.32246398925781,18.91,2.6258723735809326,7.57708740234375,,11.238204956054688,2.335,3.8795864582061768,8.93,24.37,56.02,11.537174224853516,9.140318870544434,288.4449157714844,6.382661819458008,6.84,5.172396183013916,4.71,61.79,57.14,38.73,36.18,18.22,29.91,5.89,18.22,12.05188274383545,14.29416561126709,16.64,21.58
2007-01-08,27.27,16.61,12.61,38.54,5.393,9.488972663879396,9.333600997924805,31.98,15.0,7.22723913192749,4.0109052658081055,2.7906672954559326,11.522,1.018,6.374643325805664,5.868188381195068,7.202274322509766,31.62,10.24071979522705,8.418,17.90594482421875,11.089740753173828,12.27841854095459,55.78749465942383,18.76,2.7286531925201416,7.740749835968018,,11.441057205200195,2.503,3.804153680801392,9.11,24.6,56.7,11.605036735534668,9.247040748596191,297.8748779296875,6.129140377044678,6.93,5.264730453491211,4.89,61.17,56.5,40.06,36.05,18.28,29.67,5.87,18.35,12.167291641235352,14.830810546875,17.0,21.61
2007-01-09,26.13,16.45,12.53,37.82,5.283,9.30475902557373,9.233857154846191,30.63,14.53,7.0587029457092285,3.880974292755127,2.748859643936157,11.421,1.008,6.118156909942627,5.892887592315674,6.968912124633789,31.16,10.133376121520996,8.341,17.65195655822754,10.752411842346191,11.91982364654541,56.313079833984375,18.24,2.635660171508789,7.575067043304443,,11.05563259124756,2.479,3.6999783515930176,9.24,23.99,55.57,11.378817558288574,8.964430809020996,292.10595703125,6.140803813934326,7.0,5.1467485427856445,4.75,60.86,57.37,38.73,35.67,17.69,28.77,5.67,18.03,11.985936164855955,14.452722549438477,16.72,21.36
2007-01-10,26.44,16.51,12.19,38.36,5.195,9.475541114807127,9.20535945892334,30.45,14.62,7.06365966796875,3.594279766082764,2.748859643936157,11.302,1.024,6.074659824371338,5.845547199249268,6.71317195892334,31.63,10.3265962600708,8.503,17.86361312866211,10.84971809387207,12.307111740112305,57.27978515625,18.5,2.893842935562134,7.578099727630615,,11.486700057983398,2.516,3.7718236446380615,9.2,23.78,55.9,11.356196403503418,8.9426908493042,288.5558776855469,6.140803813934326,7.2,5.21514368057251,4.78,61.13,59.82,38.36,36.61,17.82,28.68,5.84,17.82,12.363485336303713,15.001559257507324,17.19,20.77
2007-01-11,26.27,16.82,12.1,38.41,5.283,9.688539505004885,9.34358024597168,30.29,14.65,7.450302124023437,3.6098146438598633,2.827249050140381,11.514,1.029,6.1781535148620605,5.886711597442627,6.649236679077148,32.73,10.305129051208496,8.503,17.9906005859375,10.83674144744873,12.292762756347656,58.293434143066406,19.17,2.6430013179779053,7.698318958282471,,11.51206111907959,2.475,3.79577112197876,8.99,24.5,56.94,11.390130996704102,8.92885684967041,286.78082275390625,5.94482946395874,7.26,5.21514368057251,4.89,61.31,61.56,39.39,36.28,17.79,29.0,5.88,18.34,12.37832260131836,15.094252586364746,17.37,21.39
2007-01-12,27.06,17.25,11.88,39.64,5.413,9.824779510498049,9.37635612487793,32.17,14.87,7.608924865722656,3.592867136001587,2.8429276943206787,11.243,1.029,6.1871538162231445,5.897004127502441,6.569318771362305,32.55,10.388856887817385,8.528,17.778945922851562,10.801060676574709,12.120640754699709,59.5041618347168,19.42,2.652790307998657,7.728623390197754,,11.790986061096191,2.417,3.7119531631469727,9.22,24.7,56.94,11.42858600616455,8.934786796569824,288.4449157714844,6.037891387939453,7.17,5.284394264221191,4.97,63.7,62.55,38.93,37.15,17.89,29.23,5.98,18.64,12.406350135803224,15.513802528381348,17.83,21.58
2007-01-15,27.06,17.2,11.83,39.1,5.406,10.074238777160645,9.518855094909668,32.24,15.16,7.49491548538208,3.6719560623168954,2.8429276943206787,11.302,1.033,6.299646854400635,5.796147346496582,6.4893999099731445,32.54,10.133376121520996,8.418,18.07526016235352,10.671321868896484,11.948506355285645,57.81476211547852,19.37,2.9476819038391118,7.766011238098144,,11.532344818115234,2.458,3.7119531631469727,9.04,24.7,56.12,11.365243911743164,8.871543884277344,279.5697021484375,6.037891387939453,6.86,5.296363353729248,4.92,64.67,60.55,38.83,36.88,17.67,28.92,5.91,18.68,12.315671920776367,15.513802528381348,17.77,21.63
2007-01-16,26.98,17.19,11.61,41.02,5.406,9.90153694152832,9.463271141052246,32.25,15.14,7.688235282897949,3.714323997497559,2.769763469696045,11.209,1.013,6.1271562576293945,5.824964046478272,6.313577175140381,33.29,10.068967819213867,8.205,18.11760139465332,10.638885498046877,11.747697830200195,59.635555267333984,19.24,2.67236852645874,7.8094482421875,,11.441057205200195,2.392,3.7119531631469727,9.2,24.5,56.12,11.118667602539062,8.75296401977539,272.35858154296875,6.198353290557861,6.65,5.176671981811523,4.93,64.67,61.91,38.26,37.42,17.67,28.68,5.83,18.44,12.117830276489258,15.318663597106934,17.74,21.5
2007-01-17,26.92,17.27,11.46,40.83,5.4,9.928400039672852,9.57870101928711,32.9,15.13,7.85677433013916,3.855553150177002,2.769763469696045,11.167,1.029,6.014660835266113,5.818788051605225,6.262430191040039,34.95,10.079702377319336,8.256,18.20224952697754,10.509140968322754,11.632942199707031,58.95042037963867,19.3,3.006903171539306,7.865019798278809,,11.66420078277588,2.479,3.6520845890045166,9.2,24.7,56.77,11.118667602539062,8.707515716552734,266.2568359375,6.198353290557861,6.5,5.189495086669922,4.97,65.5,62.67,36.58,37.65,17.71,28.68,5.88,18.49,12.365135192871094,15.391839981079102,17.75,21.63
