,VIVO4,AMBV4,ARCZ6,BBDC4,BRAP4,BBAS3,BRTP3,BRTP4,BRKM5,CCRO3,CMIG4,CESP6,CPLE6,CSAN3,CPFE3,CYRE3,DURA4,ELET3,ELET6,EMBR3,GFSA3,GGBR4,GOAU4,GOLL4,PTIP4,ITSA4,ITUB4,KLBN4,LIGT3,RENT3,LAME4,LREN3,NATU3,NETC4,BNCA3,PCAR4,PETR3,PETR4,RSID3,SBSP3,SDIA4,CSNA3,CRUZ3,TAMM4,VCPA4,TNLP3,TNLP4,TMAR5,TCSL4,UBBR11,USIM5,VALE3,VALE5,ALLL11
2007-07-26,28.11,21.09,11.43,6.117,14.967439651489258,12.183558464050291,42.17,23.02,8.139147758483887,4.733999252319336,3.1425938606262207,15.904,1.34,4.604742050170898,7.6630167961120605,7.448423385620117,51.59,10.79676914215088,9.669,18.02446746826172,621.9727172851562,15.852457046508787,18.27150154113769,45.413761138916016,24.5,2.953799247741699,8.708600044250488,,14.230321884155272,3.62112021446228,3.341,4.153796195983887,7.86,31.09,30.53,58.33,13.806147575378418,10.43310260772705,532.40283203125,9.124755859375,8.38,9.062379837036133,5.64,46.2,42.98,45.75,24.92,40.42,5.96,21.39,18.514724731445312,22.19742584228516,25.12,26.25
2007-07-27,29.19,21.29,11.1,5.96,14.585579872131348,11.991183280944824,40.82,22.33,8.264366149902344,4.801787853240967,3.1183559894561768,15.769,1.331,4.87472677230835,7.461306095123291,7.240635395050049,50.83,10.584224700927734,9.669,17.982141494750977,610.8014526367188,15.489550590515137,17.59413719177246,45.03530883789063,24.03,2.831438541412353,8.43582820892334,,14.48389720916748,3.5344817638397217,3.324,4.1789422035217285,7.67,30.0,30.11,56.19,13.331088066101074,10.200108528137209,514.7633056640625,8.973366737365723,9.0,8.89310359954834,5.52,46.41,40.76,44.0,24.29,39.32,5.76,20.58,18.13553047180176,21.70469665527344,24.76,24.99
2007-07-30,29.78,21.12,11.61,6.083,15.12095069885254,12.47853183746338,42.12,23.07,8.619983673095703,4.941605567932129,3.2094547748565674,16.539,1.331,5.019442558288574,7.535402297973633,7.288586139678955,51.96,10.949198722839355,9.856,17.65195655822754,646.286376953125,15.829362869262695,18.44158935546875,45.03530883789063,25.19,2.907302141189575,8.688394546508789,,14.778035163879396,3.849531888961792,3.377,4.238811016082764,7.77,30.9,30.45,58.4,14.023317337036133,10.674072265625,526.8557739257812,9.021063804626465,9.15,9.234225273132324,5.56,46.02,43.65,45.73,25.0,41.01,5.96,21.14,18.959869384765625,22.34866714477539,25.73,25.09
2007-07-31,28.26,20.66,11.59,6.07,15.159329414367676,12.653803825378418,40.3,22.51,8.650035858154297,4.810263156890869,3.153454542160034,16.471,1.338,4.821706295013428,7.481886386871338,7.048830032348633,52.24,10.68083667755127,9.669,17.18631362915039,649.5720825195312,15.638006210327148,18.479707717895508,44.00404357910156,24.99,2.895066261291504,8.733859062194824,,14.707033157348633,3.741230964660645,3.365,4.238811016082764,7.58,30.25,30.35,58.11,13.801623344421388,10.502805709838867,530.294921875,9.38190746307373,8.91,9.29407024383545,5.52,46.25,43.36,43.43,24.99,41.86,5.91,20.59,19.07693099975586,22.63650321960449,25.88,25.19
2007-08-01,27.89,20.51,11.55,6.07,15.466350555419922,12.739297866821287,42.13,22.97,9.015671730041504,4.660559177398682,3.2178070545196533,16.158,1.359,5.01183557510376,7.451012134552002,6.84104061126709,52.44,10.627163887023926,9.626,17.23711395263672,639.3865356445312,16.03390884399414,18.70842742919922,43.7012825012207,24.95,2.924432277679444,8.688394546508789,,14.838892936706545,3.741230964660645,3.394,4.2807207107543945,7.58,29.6,29.59,58.63,13.618390083312988,10.534667015075684,508.3287048339844,9.43375301361084,9.06,9.33083152770996,5.42,45.57,43.08,44.39,25.72,41.52,5.95,20.54,19.192331314086918,22.31938743591309,25.84,25.59
2007-08-02,27.54,20.34,11.63,6.11,15.474026679992676,12.816244125366213,42.58,23.3,9.160924911499023,4.749533176422119,3.17852783203125,16.251,1.345,4.891673564910889,7.566277027130127,7.032845497131348,51.82,10.74524211883545,9.635,17.474172592163086,615.4013671875,16.073503494262695,18.957683563232425,44.18380737304688,25.55,2.9464571475982666,8.788408279418945,,14.84903621673584,3.739262342453003,3.398,4.34418249130249,7.87,30.35,29.88,57.92,13.731497764587402,10.516746520996094,504.7786254882813,9.975015640258787,9.11,9.241918563842772,5.5,45.78,42.59,45.4,26.22,42.79,6.01,21.0,19.32258033752441,22.575515747070312,26.06,24.8
2007-08-03,26.75,20.1,11.4,6.015,14.583657264709473,12.465703964233398,41.13,22.67,9.115846633911133,4.69586706161499,3.1367411613464355,15.295,1.279,4.867337226867676,7.245184421539307,6.745140075683594,50.45,10.603546142578123,9.473,17.86361312866211,597.9873657226562,15.595128059387209,18.06624794006348,43.105224609375,24.71,2.887723445892334,8.587367057800293,,14.55489730834961,3.662468194961548,3.283,4.214865207672119,7.83,28.3,29.03,54.83,13.222504615783691,10.036812782287598,493.57373046875,10.039304733276367,8.79,8.89139175415039,5.21,44.41,41.08,42.64,25.33,40.1,5.87,20.59,18.63013458251953,21.58760643005371,24.86,24.01
2007-08-06,27.1,19.94,11.32,6.035,14.583657264709473,12.46142864227295,41.52,22.36,9.065759658813477,4.767893314361572,3.1843810081481934,15.194,1.331,5.033131122589111,7.362504959106445,6.617269039154053,50.07,10.947050094604492,9.558,18.32925033569336,606.8587036132812,15.506047248840332,18.385875701904297,43.86212539672852,26.17,2.85590934753418,8.566150665283203,,14.656322479248049,3.682159900665283,3.25,4.16696834564209,7.99,28.0,29.23,55.45,13.303940773010254,10.0746488571167,501.450439453125,9.927318572998049,8.97,8.746908187866211,5.38,45.88,41.23,45.2,25.83,41.65,5.88,20.63,18.168500900268555,21.59980583190918,24.86,24.1
2007-08-07,27.45,20.25,11.65,6.145,14.946331977844238,12.40158462524414,42.21,22.71,9.180959701538086,4.992448329925537,3.1634881496429443,15.735,1.34,5.019442558288574,7.512762546539307,7.35252046585083,52.23,10.820383071899414,9.558,19.42984771728516,620.0012817382812,15.911846160888672,18.737754821777344,45.22453308105469,25.8,2.826543092727661,8.38531494140625,,14.468680381774902,3.8199944496154794,3.419,4.262758731842041,7.78,28.7,29.72,56.61,13.414790153503418,10.15031909942627,516.9820556640625,9.74689769744873,9.2,8.975174903869629,5.49,46.66,43.17,43.69,25.71,41.58,6.03,20.63,18.87743377685547,22.073022842407227,25.51,25.43
2007-08-08,28.08,21.31,11.83,6.322,15.12287139892578,12.739297866821287,43.32,22.85,9.506525993347168,5.168983459472656,3.2746450901031494,16.09,1.391,4.928179740905762,7.86061429977417,7.35252046585083,52.72,11.196091651916504,9.967,19.81082344055176,618.6869506835938,15.997621536254885,19.0573787689209,44.93124008178711,26.4,2.858356237411499,8.486339569091797,,14.960604667663574,3.9381377696990967,3.533,4.346578121185303,8.06,29.8,31.06,57.92,13.835559844970703,10.480900764465332,519.9774780273438,9.82155418395996,9.6,9.217123985290527,5.54,48.68,45.11,45.06,26.08,42.5,6.17,20.77,19.32258033752441,22.56820297241211,26.21,26.6
