,ACES4,AMBV4,ARCZ6,BBDC4,BRAP4,BBAS3,BRTP3,BRTP4,BRKM5,CMET4,CCRO3,CMIG4,CPLE6,CRTP5,ELET3,ELET6,ELPL4,EMBR3,EMBR4,EBTP4,GGBR4,GOAU4,PTIP4,ITSA4,ITUB4,PCAR4,PRGA4,PETR3,PETR4,SBSP3,SDIA4,CSNA3,CSTB4,CRUZ3,VCPA4,TCOC4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TSPP4,TCSL4,UBBR11,USIM5,VALE3,VALE5
2005-06-20,30.27,12.3,7.55,2.659,4.087262153625488,4.618353843688965,25.82,14.63,10.085458755493164,2.49,2.001215696334839,6376.24609375,0.636,45.39,7.537772178649902,6.698,20.09,13.097159385681152,20.4,2.62,4.7329182624816895,5.657932281494141,9.78,1.354048252105713,4.414919376373291,40.99,58.25,7.0682148933410645,5.027651786804199,3.283615827560425,4.52,3.667698383331299,128.75,3.39,24.93,23.47,36.22,22.22,36.89,34.52,11.967164993286133,10.85,3.46,8.64,6.7925801277160645,8.877751350402832,10.76
2005-06-21,30.1,12.25,7.51,2.618,3.990357637405396,4.559928894042969,25.25,14.41,9.807271003723145,2.45,2.030167579650879,6353.87353515625,0.63,44.92,7.207149028778076,6.469,20.18,12.93630027770996,19.8,2.54,4.601730346679688,5.55490255355835,9.73,1.3459731340408323,4.354401111602783,40.62,58.68,6.9845147132873535,5.008793830871582,3.2950210571289062,4.6,3.612127780914306,129.28,3.34,24.44,23.2,36.21,22.07,36.79,34.69,12.015676498413086,10.59,3.49,8.49,6.629360675811768,8.622844696044922,10.55
2005-06-22,28.84,12.33,7.62,2.556,3.9241552352905273,4.494377136230469,25.36,14.41,9.566804885864258,2.43,2.0121612548828125,6407.5693359375,0.647,43.75,7.5356245040893555,6.698,19.74,12.707714080810549,20.06,2.51,4.660261154174805,5.526961803436279,9.57,1.3352056741714478,4.371475696563721,40.47,59.76,7.075001239776611,5.05985164642334,3.3134260177612305,4.7,3.542876482009888,129.86,3.39,24.5,23.15,36.24,22.15,36.41,34.44,11.999506950378418,10.23,3.45,8.39,6.551871299743652,8.569185256958008,10.56
2005-06-23,27.67,12.43,7.47,2.542,3.787912845611572,4.403181076049805,24.16,13.87,9.057581901550291,2.31,1.972969651222229,6130.14404296875,0.607,40.73,7.256526947021484,6.426,18.18,12.081216812133787,19.39,2.41,4.432194232940674,5.254542827606201,8.96,1.3136694431304932,4.263372898101807,40.99,59.77,6.998086452484131,4.976593017578125,3.1983301639556885,4.64,3.411216735839844,125.75,3.34,24.5,21.48,34.83,21.83,35.22,32.51,11.931585311889648,9.34,3.36,8.36,6.246864795684815,8.330135345458984,10.17
2005-06-24,28.45,12.17,7.47,2.542,3.7418599128723145,4.438805103302002,24.26,13.97,8.982139587402344,2.34,1.9065927267074585,6175.78759765625,0.616,41.19,7.374607086181641,6.477,18.77,12.191279411315918,19.24,2.41,4.43017578125,5.308675289154053,9.15,1.3325135707855225,4.272468566894531,40.62,58.38,6.84312629699707,4.898855209350586,3.2605435848236084,4.45,3.411216735839844,126.67,3.42,24.5,22.16,35.71,21.86,35.3,33.27,11.805448532104492,9.65,3.38,8.36,6.312813758850098,8.171579360961914,10.05
2005-06-27,28.22,12.36,7.35,2.59,3.9049668312072754,4.404604911804199,23.62,14.08,8.930274963378906,2.39,1.8889394998550413,6335.08154296875,0.608,42.35,7.557095050811768,6.596,19.11,12.275938987731934,19.5,2.51,4.440267086029053,5.233587741851807,9.21,1.3405892848968506,4.3441972732543945,39.11,56.85,7.125900745391846,5.096651554107666,3.2488789558410645,4.37,3.351370096206665,123.02,3.43,24.35,21.93,36.38,21.99,36.0,33.68,11.967164993286133,9.61,3.38,8.52,6.288082599639893,8.39111614227295,10.35
2005-06-28,27.56,12.16,7.5,2.638,3.9279940128326416,4.388932228088379,23.93,14.22,9.288618087768556,2.45,1.8889394998550413,6429.94091796875,0.606,42.65,7.342403888702393,6.511,18.85,12.35213565826416,19.61,2.51,4.51090669631958,5.308675289154053,9.43,1.3621249198913574,4.414919376373291,40.39,58.58,7.046724319458008,5.0368523597717285,3.2488789558410645,4.54,3.3770194053649902,121.11,3.38,24.5,21.69,35.7,21.87,35.51,32.93,11.808679580688477,9.61,3.35,8.54,6.363921642303467,8.609428405761719,10.59
2005-06-29,27.57,12.25,7.35,2.638,3.837804079055786,4.403181076049805,24.77,14.39,9.335766792297363,2.41,1.9260109663009644,6523.90673828125,0.608,42.65,7.106245040893555,6.332,18.31,12.208213806152344,19.73,2.48,4.561365127563477,5.273750305175781,9.6,1.3594330549240112,4.373395919799805,39.39,58.58,6.97885799407959,4.995913505554199,3.260803461074829,4.52,3.3257224559783936,119.13,3.34,24.35,21.7,35.7,21.74,35.4,32.43,11.805448532104492,9.26,3.32,8.71,6.446354389190674,8.53747272491455,10.43
2005-06-30,27.4,12.09,7.3,2.638,3.861790657043457,4.510052680969238,24.57,14.01,9.217890739440918,2.43,1.9376624822616575,6710.048828125,0.614,43.11,7.061158657073975,6.29,20.01,12.309809684753418,19.6,2.47,4.561365127563477,5.275498390197754,9.64,1.3675081729888916,4.364403247833252,38.02,60.33,6.860657215118408,4.935655117034912,3.2602858543396,4.64,3.240228176116944,113.68,3.34,24.26,20.89,35.87,21.79,35.15,32.68,11.698711395263672,8.98,3.32,8.77,6.281488418579102,8.45209789276123,10.47
2005-07-01,27.4,12.39,7.3,2.638,3.907843828201294,4.5171799659729,24.02,14.17,9.100015640258787,2.53,1.976853847503662,6779.8525390625,0.633,43.11,6.998898983001709,6.196,19.77,12.18281364440918,19.15,2.52,4.5411810874938965,5.334870338439941,9.64,1.3648165464401243,4.43512487411499,38.42,62.27,6.925130367279053,5.071370124816895,3.2719502449035645,4.69,3.248778343200684,113.9,3.34,24.1,20.94,36.13,21.83,35.9,32.43,11.967164993286133,9.11,3.38,8.65,6.462843894958496,8.597233772277832,10.67
