,VIVO4,AMBV4,ARCZ6,B3SA3,BBDC4,BRAP4,BBAS3,BRKM5,CCRO3,CMIG4,CESP6,CPLE6,CSAN3,CPFE3,CYRE3,ELET3,ELET6,EMBR3,GFSA3,GGBR4,GOAU4,GOLL4,ITSA4,ITUB4,JBSS3,LAME4,LREN3,MMXM3,NATU3,NETC4,OGXP3,PCAR5,PETR3,PETR4,RDCD3,RSID3,SDIA4,CSNA3,CRUZ3,TAMM4,TNLP4,TCSL4,USIM3,USIM5,VALE3,VALE5,ALLL11
2009-04-08,28.6,18.48,1.93,5.015760898590088,4.948,9.09943675994873,7.417009353637695,2.926180601119995,3.481701374053955,2.95871376991272,7.064,1.145,2.117294788360596,7.891823768615723,7.832033157348633,12.3062105178833,11.533,7.341652870178223,328.7213439941406,11.644113540649414,11.711411476135254,6.81666374206543,2.2261102199554443,7.14771842956543,4.500933170318604,1.633,2.1247518062591557,641.68310546875,8.26,16.81,899.9998779296875,,17.038707733154297,12.23634433746338,25.38999938964844,110.59589385986328,3.18,9.894415855407717,6.49,13.29,27.16,2.77,11.792941093444824,12.476444244384766,16.107585906982422,19.03,11.22
2009-04-09,29.39,19.16,2.03,5.242635726928711,5.14,9.536944389343262,7.207537651062012,3.088165760040283,3.510934352874756,2.95871376991272,7.216,1.195,2.2818033695220947,7.984395503997803,7.263010025024414,12.175294876098633,11.261,8.008288383483887,318.4384460449219,11.644113540649414,12.124975204467772,6.768659114837647,2.2690649032592773,7.38765811920166,4.632179260253906,1.67,2.195452690124512,668.1053466796875,8.26,17.44,907.4998779296876,,17.748464584350586,12.779865264892578,25.5,106.10924530029295,3.33,10.288019180297852,6.49,13.89,26.84,2.78,12.050573348999023,12.676386833190918,17.14519691467285,19.99,11.17
2009-04-13,29.23,19.34,2.13,5.359138011932373,5.14,9.932238578796388,7.220363140106201,3.129968643188477,3.551861047744751,2.936983346939087,7.275,1.175,2.262001276016236,7.896451950073242,7.595473289489746,12.28439235687256,11.388,8.094863891601562,323.7457275390625,11.644113540649414,12.42574977874756,7.0854902267456055,2.2614858150482178,7.337147235870361,4.524094581604004,1.633,2.20165491104126,681.945556640625,8.2,16.91,851.9998779296875,,17.794204711914062,12.759145736694336,25.5,112.1662139892578,3.36,10.543184280395508,6.42,15.41,27.49,2.89,11.971620559692385,12.596409797668455,17.58988380432129,20.49,11.5
2009-04-14,28.57,19.43,2.18,5.132265090942383,4.975,10.055047988891602,7.322958469390869,3.035912036895752,3.5810952186584477,2.8166301250457764,7.097,1.16,2.1629908084869385,7.69510555267334,7.55072021484375,12.000741004943848,11.125,8.26801872253418,328.7213439941406,11.644113540649414,12.638802528381348,7.287109851837158,2.173047542572021,6.993656635284424,4.516373634338379,1.596,2.1718854904174805,650.490478515625,8.1,16.55,839.9998779296875,,17.6478271484375,12.638973236083984,26.21999931335449,112.1662139892578,3.22,10.450888633728027,6.69,15.36,27.82,3.09,11.77631950378418,12.316489219665527,17.60470962524414,20.43,11.03
2009-04-15,28.91,19.31,2.17,5.0586838722229,4.975,10.016669273376465,7.481133937835693,3.0724892616271973,3.624945163726807,2.789883613586426,7.191,1.154,2.1858394145965576,7.702048778533935,7.35252046585083,12.266937255859377,11.423,7.930372714996338,327.3945007324219,11.644113540649414,12.344289779663086,7.3255133628845215,2.16546630859375,6.993656635284424,4.454611778259277,1.654,2.2475481033325195,671.8799438476562,8.19,16.35,864.9898681640625,,17.199541091918945,12.423486709594728,27.100000381469727,115.75553894042967,3.24,10.55947208404541,6.74,15.77,27.16,3.03,11.77216339111328,12.51643180847168,17.733173370361328,20.47,10.67
2009-04-16,29.56,19.64,2.09,5.353005409240723,5.126,10.112615585327148,7.8445024490356445,3.009785890579224,3.6560800075531006,2.8918519020080566,7.377,1.171,2.1629908084869385,7.866365909576416,7.358915328979492,12.546229362487791,11.661,8.138152122497559,334.0286560058594,11.644113540649414,12.532275199890137,7.14309549331665,2.2210569381713867,7.195710182189941,4.786584377288818,1.695,2.3788063526153564,658.0397338867188,8.3,15.3,904.9998779296876,,17.291032791137695,12.43177890777588,27.899999618530277,116.6528778076172,3.36,10.814634323120115,6.7,16.19,27.09,3.15,12.515976905822754,13.316203117370604,17.845788955688477,20.63,10.54
2009-04-17,29.5,19.57,2.01,5.383666038513184,5.105,10.055047988891602,7.870151519775391,2.962758302688598,3.749483108520508,2.883491039276123,7.368,1.203,1.9040415287017824,7.914967060089111,7.512359142303467,12.480767250061035,11.55,7.83513879776001,332.3701171875,11.644113540649414,12.657600402832031,7.066288471221924,2.2336907386779785,7.14771842956543,4.825185775756836,1.641,2.258060932159424,673.1381225585938,8.47,15.9,894.9998779296875,,17.085182189941406,12.232867240905762,28.1200008392334,115.75553894042967,3.41,10.928646087646484,6.62,15.36,27.02,3.15,13.047861099243164,13.88004207611084,17.700374603271484,20.43,10.78
2009-04-20,28.31,19.31,1.9,5.310085773468018,4.873,9.69813346862793,7.694876670837402,2.9157299995422363,3.59974217414856,2.8375227451324463,7.097,1.167,1.7517184019088743,7.7876787185668945,7.013665676116943,12.175294876098633,11.235,7.523462772369385,312.7994079589844,11.644113540649414,12.250299453735352,7.133494853973389,2.1781005859375,6.890101432800293,4.593576431274414,1.592,2.1671905517578125,654.26513671875,8.4,16.25,858.9998779296875,,16.559141159057617,11.934504508972168,27.5,111.49322509765624,3.28,10.450888633728027,6.55,14.87,26.55,3.07,12.466110229492188,13.20423698425293,16.98834991455078,19.95,10.35
2009-04-22,28.73,19.7,2.01,5.395927906036377,4.818,9.978294372558594,7.609377384185791,2.967982530593872,3.602705717086792,2.875140428543091,7.191,1.186,1.95126211643219,7.914967060089111,7.576294422149658,12.218934059143066,11.423,7.748558521270752,331.7066955566406,11.644113540649414,12.601202964782717,7.229504585266113,2.1452529430389404,6.771395683288574,4.701661109924316,1.658,2.2032899856567383,724.7244262695312,8.7,16.61,846.9998779296875,,16.37158203125,11.855769157409668,27.700000762939453,117.1015396118164,3.29,10.91235637664795,6.52,15.41,26.93,3.11,12.70712184906006,13.40018081665039,17.18891716003418,20.12,10.61
2009-04-23,29.65,20.15,2.17,5.506298065185547,5.051,10.281478881835938,7.95992374420166,3.1090667247772217,3.706487894058228,2.8475570678710938,7.191,1.212,1.9345064163208008,7.961251735687256,7.78727912902832,12.393491744995115,11.584,7.713932514190674,340.3310852050781,11.644113540649414,12.563599586486816,7.16229772567749,2.2109487056732178,7.046687602996826,4.948710441589356,1.678,2.190842866897583,761.2122802734375,8.92,16.45,859.9998779296875,,16.70093536376953,12.129268646240234,27.690000534057617,123.15850830078124,3.32,10.885212898254396,6.56,14.8,27.19,3.17,12.964754104614258,13.576130867004396,17.675302505493164,20.61,10.31
