,VIVO4,AMBV4,B3SA3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,CCRO3,CMIG4,CESP6,CIEL3,CPLE6,CSAN3,CPFE3,CYRE3,DXCO3,ELET3,ELET6,EMBR3,FIBR3,GFSA3,GGBR4,GOAU4,GOLL4,HYPE3,ITSA4,ITUB4,JBSS3,PRML3,LAME4,LREN3,MRFG3,MMXM3,MRVE3,NATU3,NETC4,OGXP3,PCAR5,PDGR3,PETR3,PETR4,RDCD3,RSID3,SANB11,CSNA3,CRUZ3,TAMM4,TNLP4,TCSL4,USIM3,USIM5,VALE3,VALE5,ALLL11
2010-09-21,42.81,35.75,8.954174995422363,7.71,14.91977882385254,13.85415267944336,8.083573341369629,22.319509506225582,6.706141948699951,3.1750922203063965,12.199,4.681528091430664,1.868,3.904243230819702,10.255330085754396,15.597838401794434,7.943570137023926,11.03433322906494,12.257,10.65372371673584,23.922351837158203,593.5267944335938,17.092437744140625,18.69232940673828,25.156862258911133,18.7944278717041,3.6149635314941406,10.742159843444824,5.894577503204346,44.987335205078125,3.139,7.011083126068115,12.98742389678955,1954.2177734375,8.31008529663086,17.3,22.28,1988.0,58.85,4277.52001953125,14.062566757202148,11.33288288116455,26.600000381469727,369.8708801269531,10.593016624450684,16.003313064575195,13.77,37.11,23.47,5.44,20.84676551818848,18.504159927368164,24.630172729492188,29.85,17.34
2010-09-22,42.69,36.27,9.166324615478516,7.771,15.06531810760498,13.964987754821776,8.14105224609375,22.319509506225582,6.846489429473877,3.2388806343078613,12.283,4.626126766204834,1.849,3.898010015487671,10.219165802001951,16.009855270385742,7.815378189086914,10.937718391418455,12.103,10.65372371673584,23.513425827026367,599.0033569335938,17.000577926635742,18.621671676635746,25.97956657409668,18.67721176147461,3.6207692623138423,10.81490421295166,5.917845726013184,45.52522659301758,3.144,7.132518291473389,13.098807334899902,2015.6617431640625,8.431178092956543,17.16,22.25,2011.0,58.72,4476.7763671875,13.968191146850586,11.173751831054688,26.850000381469727,371.72955322265625,10.487224578857422,16.13467788696289,13.82,37.4,23.51,5.45,21.159934997558597,18.520483016967773,25.166168212890625,30.33,17.9
2010-09-23,42.72,36.11,9.29736328125,7.867,15.376065254211426,14.388139724731444,8.522501945495605,22.319509506225582,6.95457649230957,3.212769031524658,12.283,4.579957008361816,1.835,3.896451234817505,10.255330085754396,16.349933624267578,7.853836536407471,10.963143348693848,11.967,10.64484977722168,23.48070907592773,607.2183837890625,16.753273010253906,18.088520050048828,26.167896270751957,19.26330947875977,3.641094923019409,10.898847579956056,6.034186363220215,45.574127197265625,3.176,7.247560501098633,13.06167984008789,1979.6944580078125,8.718777656555176,17.05,22.18,2060.0,58.3,4504.93212890625,14.27492332458496,11.526423454284668,26.799999237060547,388.689697265625,10.496243476867676,16.077564239501953,13.88,37.48,23.69,5.58,21.418087005615234,18.42255401611328,25.084491729736328,30.38,17.58
2010-09-24,43.5,35.62,8.854338645935059,7.771,15.741880416870115,14.085969924926758,8.51205062866211,22.319509506225582,6.760988712310791,3.0973947048187256,12.216,4.472230911254883,1.779,3.85748553276062,10.059004783630373,16.219135284423828,7.742735385894775,11.039417266845703,12.01,10.706947326660156,23.7342472076416,590.7885131835938,15.976024627685549,17.27916145324707,25.920093536376957,19.30238342285156,3.6149635314941406,10.81490421295166,5.879065990447998,45.23183059692383,3.197,7.330644130706787,12.92059326171875,1970.7027587890625,8.486680030822754,17.23,21.98,2034.0,57.89,4461.61572265625,13.991785049438477,11.311376571655272,26.75,379.1640930175781,10.58810043334961,16.106121063232422,13.88,36.39,23.52,5.51,20.9567985534668,18.09612846374512,25.947193145751957,31.23,17.2
2010-09-27,43.08,36.48,8.904250144958496,7.86,16.088029861450195,14.364900588989258,8.569528579711914,22.319509506225582,6.961030960083008,3.1174044609069824,12.055,4.506086349487305,1.816,3.896451234817505,10.002175331115724,16.219135284423828,7.81965160369873,11.024162292480469,12.001,10.534049034118652,24.04503059387207,610.6412353515625,16.18093490600586,17.568220138549805,26.4454345703125,19.84941864013672,3.623673677444458,10.828899383544922,5.7782368659973145,46.20981597900391,3.189,7.330644130706787,13.314153671264648,1973.699951171875,8.325223922729492,17.34,21.7,2035.0,57.4,4550.41455078125,14.27492332458496,11.3973970413208,26.0,383.3460693359375,10.58810043334961,16.46022605895996,13.85,37.27,23.48,5.52,21.185325622558597,18.36135482788086,26.42192268371582,31.91,17.31
2010-09-28,42.54,36.79,9.047770500183104,7.867,16.00935935974121,14.41138744354248,8.621781349182129,22.319509506225582,6.880368709564209,3.1550817489624023,12.013,4.616892337799072,1.805,3.8044939041137695,10.118419647216797,16.186433792114258,7.623092174530029,10.932635307312012,11.976,10.63183307647705,24.61753463745117,609.2720947265625,16.52009391784668,17.985746383666992,26.76262092590332,19.88849258422852,3.6527092456817623,10.926831245422363,5.817017078399658,46.45431137084961,3.144,7.330644130706787,13.106234550476074,1960.2122802734373,8.375679016113281,17.3,22.3,2096.0,57.4,4515.7607421875,14.194700241088867,11.483416557312012,26.18000030517578,383.3460693359375,10.612277030944824,16.877159118652344,13.73,37.38,23.57,5.52,21.58313369750977,18.85098648071289,26.626110076904297,32.1,17.25
2010-09-29,41.83,37.38,8.904250144958496,8.107,15.918889045715332,14.681025505065918,8.679261207580566,22.319509506225582,6.848104476928711,3.1633143424987797,11.843,4.539944171905518,1.8,3.865278482437134,9.98667335510254,16.022933959960938,7.648730278015137,10.846190452575684,11.899,10.614049911499023,24.707494735717773,593.5267944335938,16.138538360595703,17.645301818847656,26.07868766784668,20.04477882385254,3.687553405761719,11.125505447387695,5.646385192871094,45.08513259887695,3.098,7.330644130706787,12.623568534851074,1933.2369384765625,8.077987670898438,17.55,21.83,2161.0,57.18,4364.15283203125,14.605253219604492,11.827489852905272,26.600000381469727,371.72955322265625,10.612277030944824,16.76293182373047,13.73,37.01,23.49,5.45,21.37153434753418,18.40215110778809,26.64142417907715,32.26,16.94
2010-09-30,41.99,36.93,8.829375267028809,8.161,15.930685997009276,14.9367094039917,8.977104187011719,22.319509506225582,7.041688919067383,3.2316014766693115,12.199,4.533788681030273,1.788,3.9182708263397217,9.997008323669434,15.663237571716309,7.841016292572021,10.963143348693848,12.069,10.498489379882812,23.930530548095703,595.5805053710938,16.03961753845215,17.548952102661133,25.721853256225582,20.5449275970459,3.751429796218872,11.32416820526123,5.669652938842773,45.28073120117188,3.119,7.330644130706787,12.80178451538086,1922.7464599609373,8.103217124938965,17.09,22.1,2205.0,58.35,4364.15283203125,14.345706939697266,11.73716926574707,26.25,376.3761596679688,11.02322769165039,16.751506805419922,13.66,36.92,23.48,5.45,21.81166076660156,18.52456283569336,26.69757843017578,32.39,17.11
2010-10-01,43.0,37.45,8.760738372802734,8.277,16.276832580566406,15.21098518371582,9.14431381225586,22.319509506225582,7.433701992034912,3.2492566108703613,12.52,4.552255630493164,1.783,3.898010015487671,10.15975284576416,15.94445514678955,7.883747100830078,11.024162292480469,12.069,10.40070629119873,24.085926055908203,616.1177978515625,16.096141815185547,17.414060592651367,26.901390075683597,21.15447998046875,3.79498553276062,11.41989803314209,5.63087272644043,45.47632598876953,3.164,7.330644130706787,12.749802589416504,1943.727294921875,8.451362609863281,17.45,22.0,2219.0,59.37,4546.0830078125,14.44008731842041,11.827489852905272,26.899999618530277,383.3460693359375,11.31331729888916,16.86002540588379,13.88,37.78,23.13,5.51,22.666522979736328,18.434795379638672,26.952816009521484,32.71,17.74
2010-10-04,44.26,37.91,8.791935920715332,8.223,16.42237663269043,15.29001808166504,9.264495849609377,22.319509506225582,7.453059196472168,3.3081214427948,12.842,4.561489105224609,1.86,3.8777472972869873,10.332825660705566,16.349933624267578,7.913658618927002,11.319089889526367,12.367,10.40959644317627,23.79149627685547,632.5475463867188,15.968951225280762,17.343402862548828,26.990598678588867,20.90440368652344,3.824020385742188,11.433893203735352,5.514533042907715,45.08513259887695,3.139,7.330644130706787,12.519610404968262,1919.7491455078125,8.42613410949707,17.6,21.81,2270.0,59.48,4550.41455078125,14.421212196350098,11.775876998901367,27.049999237060547,377.7701110839844,11.41001033782959,16.80291175842285,14.13,36.99,23.03,5.45,22.336427688598636,18.27974319458008,26.97323226928711,32.71,18.37
2010-10-05,44.0,38.37,9.110167503356934,8.421,16.67805290222168,15.420185089111328,9.400354385375977,22.319509506225582,7.68052339553833,3.343442678451538,13.332,4.678451061248779,1.927,3.904243230819702,10.461986541748049,16.64423179626465,8.033304214477539,11.619101524353027,12.87,10.56960391998291,23.7097110748291,652.4003295898438,15.926560401916504,17.343402862548828,27.258224487304688,21.553028106689453,3.9314544200897217,11.71938705444336,5.63087272644043,45.91641998291016,3.32,7.330644130706787,12.883464813232422,1978.1959228515625,8.633003234863281,18.12,21.9,2260.0,60.7,4699.85693359375,14.340989112854004,11.603837966918944,26.799999237060547,392.4070129394531,11.685588836669922,16.494495391845703,14.45,36.91,23.95,5.41,22.51417350769043,18.44295692443848,27.31525230407715,33.11,18.96
2010-10-06,44.09,38.73,8.922974586486816,8.387,16.48531150817871,15.36439609527588,9.13908863067627,22.319509506225582,7.420794486999512,3.3104777336120605,13.409,4.524554252624512,1.92,3.924504995346069,10.461986541748049,16.48073387145996,8.046123504638672,11.746225357055664,12.861,10.4540433883667,23.865100860595703,640.077880859375,15.6156587600708,16.893753051757812,27.39699363708496,21.88124656677246,3.899513244628906,11.615824699401855,5.739458084106445,45.23183059692383,3.357,7.330644130706787,12.734952926635742,1937.7327880859373,8.476588249206543,17.94,21.95,2303.0,59.32,4728.0126953125,13.769990921020508,11.12213897705078,25.75,390.3160095214844,11.661413192749023,16.345998764038086,14.83,36.63,24.32,5.37,22.175613403320312,18.0349235534668,27.396921157836918,33.18,18.08
2010-10-07,43.9,38.88,8.873053550720215,8.387,16.42630386352539,15.159846305847168,8.903949737548828,22.319509506225582,7.307870864868164,3.314011335372925,13.256,4.539944171905518,1.911,3.941649913787842,10.36640739440918,16.022933959960938,7.947843551635742,11.573335647583008,12.835,10.33847713470459,23.186283111572266,638.0242309570312,15.396617889404297,16.604698181152344,27.35734748840332,22.193832397460938,3.890802621841431,11.638228416442873,5.623117446899414,44.74283981323242,3.431,7.330644130706787,12.489906311035156,1921.247802734375,8.375679016113281,18.04,22.86,2300.0,59.81,4546.0830078125,13.359441757202148,10.881288528442385,25.26000022888184,389.15435791015625,11.820962905883787,16.237483978271484,14.6,36.91,23.96,5.38,20.90601348876953,17.56977081298828,27.299936294555664,33.2,18.26
2010-10-08,44.55,39.61,9.085210800170898,8.585,16.442045211791992,15.457377433776855,8.982327461242676,22.319509506225582,7.527268409729004,3.3081214427948,13.595,4.666138172149658,1.968,4.113092422485352,10.332825660705566,16.088335037231445,8.306777000427246,11.66486644744873,12.912,10.489601135253906,23.603389739990234,644.1853637695312,15.60859489440918,16.816669464111328,28.16022491455078,22.38920783996582,3.975007772445679,11.892932891845703,5.592093467712402,44.987335205078125,3.484,7.330644130706787,12.549311637878418,1952.7191162109373,8.42613410949707,18.04,22.87,2280.0,61.0,4634.8818359375,13.685050964355469,11.182351112365724,25.96999931335449,394.7302856445313,12.062700271606444,16.47736167907715,14.55,37.4,24.36,5.58,20.947742462158203,17.598237991333008,27.208053588867188,33.09,18.2
