,ACES4,AMBV4,ARCZ6,BBDC4,BBAS3,BRTP4,BRKM5,CMET4,CMIG4,CPLE6,CRTP5,ELET3,ELET6,ELPL4,EMBR3,EMBR4,EBTP3,EBTP4,GGBR4,GOAU4,ITSA4,ITUB4,PETR3,PETR4,SBSP3,SDIA4,CSNA3,CSTB4,CRUZ3,VCPA4,TCOC4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TSPP4,TCSL4,USIM5,VALE3,VALE5
2004-08-31,29.99,8.84,8.79,1.442,3.455570936203003,14.18,9.827584266662598,1.67,4832.5234375,0.449,51.61,8.630544662475586,7.167,14.51,12.563790321350098,19.41,6.15,3.42,6.178866386413574,6.5709967613220215,0.9644691348075868,3.0005269050598145,5.112551212310791,3.732898235321045,3.2105135917663574,4.95,3.8771603107452393,123.34,3.29,33.22,24.43,24.32,21.21,30.74,36.19,12.80809497833252,15.97,3.57,7.633407115936279,6.8299760818481445,8.36
2004-09-01,30.09,8.79,8.86,1.428,3.402845859527588,13.94,9.628252029418944,1.64,4725.1337890625,0.444,51.61,8.396531105041504,7.116,14.75,12.766980171203612,20.12,6.16,3.3,6.121481418609619,6.539497375488281,0.9779015183448792,2.9904232025146484,5.146484375,3.7365403175354,3.0993056297302246,4.95,3.821589231491089,121.02,3.3,33.69,24.26,23.97,20.73,30.25,34.36,12.7757568359375,15.65,3.43,7.569109439849853,6.768993377685547,8.31
2004-09-02,30.27,8.77,9.12,1.442,3.481221437454224,13.82,10.018802642822266,1.67,4733.18994140625,0.45,51.89,8.48026180267334,7.235,15.12,12.86010456085205,20.4,6.15,3.26,6.17121696472168,6.560135364532471,0.969841718673706,3.0308351516723637,5.236972332000732,3.792079210281372,3.079863786697388,5.21,3.93700647354126,124.33,3.33,34.27,24.5,23.95,20.75,30.69,34.6,13.034504890441896,15.4,3.47,7.567461967468262,6.875103950500488,8.38
2004-09-03,29.73,8.65,8.88,1.428,3.434197425842285,13.74,10.372272491455078,1.68,4657.1220703125,0.449,51.45,8.48026180267334,7.141,15.21,12.741582870483398,20.14,6.15,3.18,6.08322286605835,6.505827903747559,0.9564093947410583,2.975269317626953,5.174759387969971,3.7875258922576895,3.059126615524292,5.44,3.930166006088257,122.82,3.31,33.62,24.3,23.33,20.39,29.8,34.44,12.678729057312012,15.1,3.31,7.468541145324707,6.8299760818481445,8.33
2004-09-06,29.99,8.7,8.86,1.421,3.407121181488037,13.59,10.616803169250488,1.71,4640.11767578125,0.452,51.89,8.310654640197754,7.107,15.25,12.893973350524902,20.17,6.16,3.18,6.134232997894287,6.51777458190918,0.9564093947410583,2.9702181816101074,5.236405372619629,3.790712594985962,3.007021188735962,5.37,3.9412808418273926,124.31,3.31,33.95,24.32,23.57,20.3,29.91,34.95,12.856613159179688,15.25,3.36,7.49327278137207,6.976334095001221,8.54
2004-09-08,29.64,8.58,8.82,1.428,3.50544548034668,13.7,10.674749374389648,1.77,4617.7451171875,0.447,52.2,8.211898803710938,7.09,16.05,12.606122970581056,19.95,6.16,3.11,6.05133867263794,6.463470458984375,0.9859609603881836,3.020730495452881,5.265247821807861,3.8353235721588135,3.043831825256348,5.56,3.824153184890747,123.59,3.27,34.27,24.6,23.97,20.54,30.17,35.11,13.163878440856934,15.59,3.29,7.311913967132568,6.897058010101318,8.52
2004-09-09,28.83,8.48,8.9,1.442,3.476944923400879,13.44,10.533363342285156,1.77,4474.5595703125,0.444,51.84,8.15822696685791,6.979,16.37,12.648451805114746,19.75,6.2,3.04,5.847288608551025,6.272315502166748,0.9859609603881836,3.023056030273437,5.344425678253174,3.8498921394348153,3.0085771083831787,5.47,3.7873919010162354,120.81,3.26,34.75,24.71,22.89,20.01,29.23,35.27,12.95364475250244,15.23,3.29,7.130561351776123,7.023899555206299,8.5
2004-09-10,28.33,8.47,8.82,1.442,3.398573160171509,13.35,10.254061698913574,1.77,4371.64453125,0.428,51.01,7.814722061157227,6.724,15.83,12.529924392700195,19.57,6.19,2.94,5.848563194274902,6.299466133117676,0.9752147197723388,3.020730495452881,5.29352617263794,3.824399709701538,2.9471402168273926,5.39,3.761742830276489,116.79,3.18,34.39,24.76,22.24,19.95,28.91,35.2,12.892189979553224,15.12,3.15,6.982179641723633,6.9397454261779785,8.38
2004-09-13,28.05,8.64,8.76,1.428,3.3771955966949463,13.37,9.87625789642334,1.76,4349.27294921875,0.424,50.93,7.434720993041992,6.418,15.73,12.65692138671875,20.12,6.2,2.88,5.760566711425781,6.299466133117676,0.9725284576416016,3.0480096340179443,5.32236909866333,3.8239433765411377,2.931068181991577,5.36,3.718996047973633,113.82,3.23,34.34,25.18,21.81,19.52,28.08,34.52,12.905132293701172,15.02,3.28,7.089341640472412,6.989752292633057,8.43
2004-09-14,29.19,8.57,8.84,1.456,3.422794818878174,13.58,9.734869956970217,1.77,4438.763671875,0.441,51.36,7.750316143035889,6.724,15.83,12.826244354248049,20.6,6.21,3.01,5.881719589233398,6.402647018432617,0.9886475801467896,3.0965006351470947,5.4179463386535645,3.8785719871521,3.053163528442383,5.46,3.8036351203918457,117.47,3.33,34.44,25.69,22.35,20.05,29.38,35.11,12.7886962890625,15.64,3.25,7.2921319007873535,7.161718368530273,8.63
2004-09-15,29.46,8.51,8.76,1.469,3.434197425842285,13.49,9.676925659179688,1.81,4608.7958984375,0.439,51.98,8.115287780761719,7.039,16.11,12.597655296325684,19.98,6.2,2.97,5.842186450958252,6.35377311706543,0.9940205812454224,3.081449031829834,5.37835693359375,3.8772060871124263,3.0658657550811768,5.47,3.791665554046631,117.68,3.28,34.04,25.46,22.62,20.06,29.4,34.69,12.94070053100586,15.34,3.36,7.303671360015869,7.077564716339111,8.73
2004-09-16,29.19,8.66,8.63,1.496,3.533944845199585,13.83,10.256380081176758,1.85,4805.67626953125,0.45,52.92,8.791563034057617,7.49,17.15,12.35213565826416,20.02,6.23,3.11,6.006704330444336,6.445005893707275,1.0208861827850342,3.1773245334625244,5.4286932945251465,3.924094915390015,3.190294027328491,5.65,3.8130388259887695,121.78,3.38,33.81,25.88,23.27,20.54,30.3,36.28,13.144469261169434,15.44,3.47,7.376214027404785,7.147082805633545,8.7
2004-09-17,29.12,8.75,8.45,1.51,3.548195600509644,14.04,10.430217742919922,1.88,4900.5380859375,0.452,52.76,9.014840126037598,7.575,17.39,12.487593650817873,19.82,6.24,3.07,6.108728885650635,6.603576183319092,1.0423786640167236,3.242993831634521,5.4942946434021,3.973259687423706,3.1568539142608643,5.62,3.801925182342529,124.19,3.4,33.4,26.09,23.83,20.62,30.59,36.45,13.099193572998049,15.49,3.5,7.402593612670898,7.232457160949707,8.95
2004-09-20,29.12,8.86,8.45,1.51,3.535369396209717,13.89,10.685179710388184,1.85,4904.11669921875,0.449,53.2,8.73788833618164,7.422,17.37,12.46219539642334,19.98,6.23,3.05,6.178866386413574,6.62529993057251,1.0584983825683594,3.242993831634521,5.525965213775635,3.988738775253296,3.110970497131348,5.57,3.778841972351074,126.82,3.34,33.52,26.28,24.42,20.67,30.74,36.04,13.199459075927734,15.71,3.56,7.353133678436279,7.19586992263794,8.94
2004-09-21,28.78,8.92,8.26,1.51,3.533944845199585,13.79,10.86017608642578,1.85,4868.3203125,0.446,52.76,8.729302406311035,7.371,17.25,12.46219539642334,19.93,6.25,3.03,6.108728885650635,6.613354206085205,1.0531247854232788,3.2328920364379883,5.610233306884766,4.049284934997559,3.128339529037476,5.42,3.778841972351074,128.85,3.4,32.6,26.36,24.13,20.75,30.59,36.36,13.192992210388184,15.84,3.53,7.386105537414551,7.269046783447266,8.98
2004-09-22,28.13,8.74,7.96,1.503,3.4854953289031982,13.82,10.430217742919922,1.84,4832.5234375,0.445,52.06,8.883880615234375,7.567,16.37,12.098154067993164,19.37,6.24,2.94,5.981196880340576,6.4406609535217285,1.0423786640167236,3.208646059036255,5.562160491943359,4.027431488037109,3.1107120513916016,5.2,3.676248550415039,124.83,3.35,32.0,26.0,23.07,20.29,29.45,35.11,13.079782485961914,15.25,3.47,7.188263893127441,7.19586992263794,8.95
2004-09-23,27.98,8.83,8.05,1.49,3.50544548034668,13.83,10.85322093963623,1.83,4899.6416015625,0.449,52.48,8.974048614501953,7.643,16.99,12.01348876953125,18.9,6.22,2.98,5.927633762359619,6.408078193664551,1.0262595415115356,3.157122135162353,5.728431224822998,4.141695022583008,3.1016385555267334,5.05,3.663424253463745,125.35,3.38,32.02,26.14,23.25,20.61,30.04,35.27,13.11536693572998,15.12,3.5,7.204751968383789,7.147082805633545,8.95
2004-09-24,27.7,8.91,7.95,1.49,3.533944845199585,13.99,10.824248313903809,1.82,5078.6240234375,0.449,52.67,9.1243314743042,7.813,16.71,11.581714630126951,18.76,6.24,2.96,5.764396190643311,6.2397308349609375,1.0262595415115356,3.167221546173096,5.78555154800415,4.194501876831055,3.1337833404541016,5.08,3.606997489929199,124.15,3.38,31.58,26.07,23.38,20.73,30.59,34.77,12.846906661987305,14.76,3.49,6.9574480056762695,7.255631923675537,9.02
