,ACES4,AMBV4,ARCZ6,BBDC4,BRAP4,BBAS3,BRTP4,BRKM5,CMET4,CCRO3,CMIG4,CPLE6,CRTP5,ELET3,ELET6,ELPL4,EMBR3,EMBR4,EBTP3,EBTP4,GGBR4,GOAU4,ITSA4,ITUB4,PCAR4,PRGA4,PETR3,PETR4,SBSP3,SDIA4,CSNA3,CSTB4,CRUZ3,VCPA4,TCOC4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TSPP4,TCSL4,UBBR11,USIM5,VALE3,VALE5
2004-12-08,32.39,10.43,8.72,1.995,3.967330694198608,4.649704933166504,15.02,14.84683895111084,2.03,1.8359780311584477,5597.67431640625,0.513,46.63,7.900598526000977,6.979,15.6,11.903429985046388,19.23,6.48,2.57,5.949556827545166,6.764139175415039,1.1444668769836426,3.798648834228516,53.01,56.53,5.712597846984863,4.230922222137451,3.4321517944335938,5.53,4.068667888641357,139.02,4.24,34.34,24.29,28.68,22.36,39.51,32.93,13.746064186096191,15.29,3.87,7.97,8.391804695129395,8.000832557678223,9.8
2004-12-09,32.74,10.28,8.63,1.988,3.751453399658203,4.502929210662842,14.27,14.356616973876951,2.01,1.8253856897354128,5682.6904296875,0.494,44.63,7.836190700531006,6.911,15.38,12.148950576782228,19.83,6.42,2.51,5.755970001220703,6.565518379211426,1.1471537351608276,3.808750867843628,52.16,57.17,5.598921298980713,4.115748405456543,3.387047290802002,5.41,4.018225193023682,135.9,4.23,33.83,23.38,27.74,21.98,38.62,32.51,13.118595123291016,15.1,3.72,8.17,8.152741432189941,8.084985733032227,9.96
2004-12-10,33.45,10.39,8.74,2.071,3.751453399658203,4.54425573348999,14.39,14.39370059967041,2.05,1.8430397510528564,6076.45166015625,0.51,45.15,7.771783828735352,6.877,15.6,12.36060619354248,20.48,6.49,2.5,5.8321146965026855,6.753105640411377,1.2062573432922363,3.940087556838989,52.82,58.08,5.667353630065918,4.183577537536621,3.502143859863281,5.52,4.052423477172852,140.64,4.28,34.42,23.61,27.66,21.93,38.74,32.43,13.260910987854004,15.52,3.82,8.22,8.193961143493652,8.32403564453125,10.23
2004-12-13,33.8,10.44,8.79,2.125,3.837804079055786,4.702425956726074,14.41,14.808592796325684,2.08,1.9048272371292116,6083.60888671875,0.524,45.49,7.943534851074219,7.022,15.5,12.44526195526123,20.33,6.25,2.41,6.043769359588623,7.062070369720459,1.2465555667877195,4.010804176330566,52.33,58.75,5.680925369262695,4.210890769958496,3.4676668643951416,5.57,4.180664539337158,143.97,4.29,34.68,23.73,27.84,22.22,38.4,32.43,13.196229934692385,15.32,3.82,8.27,8.531942367553711,8.45209789276123,10.39
2004-12-14,34.29,10.7,8.9,2.132,3.842602014541626,4.77367639541626,14.68,14.973156929016112,2.12,1.9242461919784544,6064.81787109375,0.533,46.54,8.252691268920898,7.184,15.6,12.529924392700195,20.48,5.3,2.37,6.12507438659668,7.110621929168701,1.249242067337036,4.030404090881348,52.72,60.76,5.740307807922363,4.246853351593018,3.4793312549591064,5.68,4.244784832000732,149.0,4.36,34.84,24.16,27.98,22.53,38.74,32.85,13.500255584716797,16.28,3.79,8.36,8.75451374053955,8.45209789276123,10.52
2004-12-15,34.5,10.61,8.56,2.084,3.9049668312072754,4.683902263641357,14.94,15.019515991210938,2.11,1.9348379373550413,6038.86572265625,0.526,46.73,8.351447105407715,7.354,15.5,12.267475128173828,20.18,5.08,2.52,6.00117826461792,6.973794937133789,1.238495945930481,4.010804176330566,52.77,61.1,5.791207790374756,4.270070552825928,3.474665403366089,5.76,4.290096759796143,149.5,4.34,33.85,24.02,28.1,22.59,39.31,32.25,13.451741218566896,16.35,3.69,8.19,8.76275634765625,8.39111614227295,10.48
2004-12-16,34.91,10.65,8.68,2.105,4.102133750915527,4.588426113128662,15.27,14.777303695678713,2.13,1.9383691549301147,6085.400390625,0.534,46.73,8.39223861694336,7.379,15.94,12.233612060546877,20.23,4.91,2.45,6.059256076812744,7.006898880004883,1.2250635623931885,4.010804176330566,52.72,62.37,5.881696224212647,4.352013111114502,3.5024025440216064,5.88,4.3413920402526855,154.75,4.26,34.66,23.25,28.25,22.78,40.07,32.34,13.357938766479492,16.24,3.65,8.17,9.001818656921387,8.775301933288574,10.73
2004-12-17,35.05,10.42,8.57,2.016,4.077667713165283,4.673928737640381,15.32,14.774982452392578,2.19,1.941899538040161,6004.85986328125,0.526,45.96,8.418002128601074,7.456,15.71,12.394468307495115,20.57,4.8,2.33,6.048929691314697,6.940689563751221,1.2008848190307615,3.955240249633789,51.2,61.1,5.792338371276856,4.311952114105225,3.470518112182617,5.8,4.3516526222229,152.53,4.24,34.91,22.46,27.98,22.84,40.45,32.01,13.555238723754885,16.1,3.57,7.94,9.018302917480469,8.653335571289062,10.68
2004-12-20,34.86,10.28,8.51,1.988,4.0541605949401855,4.531428813934326,14.91,14.810911178588867,2.21,1.9242461919784544,5960.1142578125,0.529,46.1,8.340713500976562,7.422,15.69,12.572258949279783,20.63,4.5,2.33,5.98311185836792,6.885518550872803,1.1928259134292605,3.894622564315796,52.01,59.2,5.842107772827148,4.306487560272217,3.43111515045166,5.8,4.223411083221436,146.49,4.28,34.5,22.22,28.05,23.18,40.43,31.34,13.231799125671388,16.03,3.54,7.8,8.855084419250488,8.708222389221191,10.73
2004-12-21,35.04,10.44,8.63,2.023,4.221584796905518,4.629753589630127,15.17,15.07746124267578,2.27,1.927776575088501,5986.96044921875,0.534,45.44,8.415855407714844,7.473,15.6,12.707714080810549,21.33,4.47,2.35,6.079903602600098,6.9197282791137695,1.203571319580078,3.940087556838989,,,5.994804859161377,4.397988796234131,3.4793312549591064,,4.29608154296875,,,,,,,,,13.296485900878906,,,,8.851788520812988,9.099723815917969,
