,ACES4,AMBV4,ARCZ6,BBDC4,BBAS3,BRTP4,BRKM5,CMET4,CMIG4,CPLE6,CRTP5,ELET3,ELET6,ELPL4,EMBR3,EMBR4,EBTP3,EBTP4,GGBR4,ITSA4,ITUB4,PETR3,PETR4,SBSP3,CSNA3,CSTB4,CRUZ3,VCPA4,TCOC4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TSPP4,TCSL4,USIM5,VALE3,VALE5
2004-05-17,20.52,7.32,7.84,1.196,2.878457307815552,12.01,5.13398551940918,1.15,3565.3291015625,0.417,42.18,5.388722896575928,4.911,9.46,11.937292098999023,18.52,5.54,2.79,3.440837860107422,0.7979034781455994,2.343846321105957,4.513071060180664,3.2162110805511475,2.837228298187256,3.4774744510650635,78.28,2.99,27.93,21.57,18.16,16.73,24.42,36.04,10.835134506225586,16.24,3.15,4.296471118927002,5.56968355178833,6.72
2004-05-18,21.15,7.3,8.14,1.209,2.8642053604125977,12.08,5.044748783111572,1.22,3525.9521484375,0.411,42.88,5.603413105010986,4.928,9.67,11.683308601379396,18.62,5.54,2.9,3.629770278930664,0.8059626221656799,2.414565324783325,4.530035972595215,3.241246700286865,2.822711706161499,3.789528846740722,81.9,3.04,28.72,22.4,18.8,17.31,24.88,35.78,10.996849060058594,16.98,3.24,4.583341121673584,5.939641952514648,7.24
2004-05-19,21.35,7.26,8.26,1.244,2.821455955505371,12.32,4.926539897918701,1.24,3624.3935546875,0.405,42.96,5.560475826263428,4.8,9.63,11.386991500854492,18.3,5.56,2.9,3.703591346740722,0.8382008075714111,2.520644426345825,4.524380683898926,3.244434595108032,2.835413932800293,3.975478887557984,81.9,3.07,28.9,22.83,18.99,17.48,25.39,35.11,10.679883003234863,17.32,3.18,4.5437750816345215,6.098194122314453,7.38
2004-05-20,20.63,7.2,8.31,1.244,2.750205993652344,12.1,4.763133525848389,1.26,3346.970703125,0.381,41.29,5.152564525604248,4.536,9.23,11.640979766845703,18.56,5.59,2.76,3.7223594188690186,0.8355149626731873,2.4852852821350098,4.484792232513428,3.1456499099731445,2.696987628936768,3.924181461334229,80.37,2.94,29.33,22.16,18.51,17.16,24.19,34.69,10.996849060058594,16.68,3.09,4.469583511352539,6.0977864265441895,7.39
2004-05-21,20.34,7.12,8.72,1.264,2.7359559535980225,12.47,4.671579360961914,1.32,3302.224853515625,0.386,40.51,5.330756664276123,4.681,8.71,11.666377067565918,18.28,5.64,2.79,3.642282485961914,0.8355149626731873,2.4754843711853027,4.329267501831055,3.059610605239868,2.7433886528015137,3.990439176559448,79.5,2.94,30.34,21.88,18.42,17.42,24.79,35.11,10.867477416992188,16.43,3.15,4.449799537658691,6.142914772033691,7.45
2004-05-24,20.27,7.25,8.65,1.278,2.765880823135376,12.32,4.637969493865967,1.3,3427.51171875,0.377,39.81,5.667819976806641,5.013,8.98,11.725641250610352,18.41,5.75,2.87,3.7536392211914062,0.8435744643211365,2.4903359413146973,4.655588626861572,3.250352144241333,2.7420926094055176,4.046010971069336,81.34,2.9,30.66,22.02,18.8,17.55,24.95,35.95,10.867477416992188,16.84,3.25,4.583341121673584,6.240484714508057,7.57
2004-05-25,20.18,7.62,8.58,1.298,2.7844059467315674,12.56,4.936970233917236,1.28,3517.0029296875,0.386,39.63,5.796633720397949,5.158,9.41,12.123553276062012,18.97,5.81,2.86,3.7661521434783936,0.859693706035614,2.566107988357544,4.580935955047607,3.209381580352783,2.697246789932251,4.046010971069336,81.81,3.0,30.35,22.29,18.8,17.87,24.93,36.11,11.1553316116333,17.1,3.29,4.6146674156188965,6.199830532073975,7.64
2004-05-26,20.34,7.87,8.78,1.319,2.778706312179565,12.77,5.099218845367432,1.33,3713.883544921875,0.397,41.13,5.79878044128418,5.217,9.7,12.157413482666016,19.21,5.85,2.9,3.847482681274414,0.865066409111023,2.5913636684417725,4.558880805969238,3.202097177505493,2.7651636600494385,4.069521427154541,82.76,3.01,30.66,22.4,18.8,17.9,25.88,37.03,11.384979248046877,17.08,3.32,4.647641658782959,6.423432350158691,7.77
2004-05-27,20.72,7.98,8.69,1.346,2.9069535732269287,13.07,5.562782764434815,1.35,3928.6630859375,0.433,43.13,6.268953800201416,5.507,10.51,12.589192390441896,19.78,5.83,3.12,4.103978633880615,0.8973053693771362,2.6469297409057617,4.631834983825684,3.2863166332244877,2.834376573562622,4.169976234436035,83.71,3.05,30.66,23.99,19.27,18.24,27.5,37.96,11.5790376663208,18.14,3.54,4.857025146484375,6.545395374298096,7.97
2004-05-28,20.87,8.15,8.53,1.325,2.971077442169189,13.15,5.620728969573975,1.39,3834.697265625,0.418,43.05,6.140139579772949,5.515,10.77,12.546857833862305,19.78,5.75,3.2,4.066444396972656,0.8946188688278198,2.6469297409057617,4.530035972595215,3.2321431636810303,2.7602384090423584,4.103719711303711,82.8,3.02,30.91,23.35,19.41,18.45,27.71,36.54,11.656667709350586,18.08,3.47,4.8801045417785645,6.382774829864502,7.78
2004-05-31,20.34,8.14,8.63,1.319,2.963953018188477,12.94,5.377357006072998,1.35,3892.866455078125,0.417,41.72,6.140139579772949,5.49,10.8,12.047357559204102,19.35,5.83,3.07,4.103978633880615,0.8811858892440796,2.6469297409057617,4.552093029022217,3.267651081085205,2.7327606678009038,3.12053656578064,81.81,3.01,31.23,22.68,19.29,18.29,27.14,36.28,11.676061630249023,17.79,3.43,4.888349533081055,6.387248992919922,7.85
2004-06-01,20.34,8.26,8.9,1.353,2.949702262878418,12.79,5.610298156738281,1.36,3876.7578125,0.424,40.08,6.226014614105225,5.405,10.86,13.029431343078612,20.38,5.83,3.09,4.129003524780273,0.8919323682785034,2.677237033843994,4.6940460205078125,3.359607458114624,2.77656888961792,3.1290862560272217,82.27,2.99,31.99,22.86,18.69,17.84,25.92,36.61,11.676061630249023,17.77,3.24,4.914727210998535,6.382774829864502,7.83
2004-06-02,20.87,8.34,8.98,1.353,3.0209531784057617,12.79,5.806153774261475,1.32,3865.12353515625,0.434,41.82,6.247483253479004,5.439,11.5,13.00403118133545,20.74,5.83,3.16,4.179052352905273,0.8999923467636108,2.6923916339874268,4.666334629058838,3.355054378509521,2.86885404586792,3.148748874664306,84.65,3.04,32.63,23.13,18.51,17.94,26.04,36.95,11.870134353637695,18.01,3.33,4.977378845214844,6.256748199462891,7.64
2004-06-03,20.34,8.32,8.79,1.325,2.938303709030152,12.68,5.806153774261475,1.3,3758.630615234375,0.427,41.38,6.268953800201416,5.345,11.19,12.487593650817873,20.19,5.85,3.06,4.066444396972656,0.8919323682785034,2.6570332050323486,4.637489795684815,3.30953311920166,2.81130599975586,3.154734373092652,82.94,3.04,32.27,22.49,18.09,17.63,25.32,35.35,11.74075698852539,17.63,3.35,4.89659309387207,6.077866077423096,7.5
2004-06-04,20.79,8.34,8.86,1.346,3.0166773796081543,13.33,6.10978889465332,1.32,3946.56103515625,0.444,42.61,6.526580810546875,5.592,11.92,12.868575096130373,20.11,5.83,3.2,4.160284519195557,0.9026790857315063,2.681279182434082,4.6092143058776855,3.3136301040649414,2.882594108581543,3.223129749298096,85.13,3.1,32.35,23.13,18.59,18.02,25.82,36.36,11.902472496032717,18.12,3.39,4.937808990478516,6.240890979766846,7.64
2004-06-07,20.87,8.28,9.09,1.374,3.1135756969451904,13.79,6.356638431549072,1.35,4054.845703125,0.466,43.83,6.827147006988525,5.881,12.96,12.995566368103027,20.78,5.83,3.25,4.251623630523682,0.9349167346954346,2.7984697818756104,4.728542804718018,3.389653444290161,3.007021188735962,3.248778343200684,86.94,3.15,33.11,23.78,19.44,19.02,26.79,36.79,12.290594100952148,18.84,3.4,5.053217887878418,6.525475025177002,7.97
2004-06-08,20.79,8.31,9.06,1.394,3.1207022666931152,13.44,6.211772918701172,1.32,3964.4599609375,0.449,44.08,6.771327495574951,5.72,12.92,13.461204528808594,21.37,5.82,3.17,4.229100227355957,0.9268571138381958,2.764122009277344,4.637489795684815,3.3368475437164307,2.983950614929199,3.197481870651245,88.49,3.15,32.59,24.78,19.1,18.88,26.87,36.19,12.290594100952148,19.35,3.4,4.946052074432373,6.456360816955566,7.91
2004-06-09,20.97,8.32,8.82,1.353,3.092200994491577,13.08,6.02634859085083,1.28,3879.44287109375,0.433,43.66,6.8808183670043945,5.754,12.64,13.36807918548584,20.49,5.82,3.07,4.116493225097656,0.9107385277748108,2.7136070728302,4.547003269195557,3.2958755493164062,2.891925096511841,3.116262197494507,86.76,3.05,31.94,24.16,18.51,18.29,26.43,35.27,12.225915908813477,19.18,3.28,4.8801045417785645,6.159175872802734,7.54
2004-06-11,20.87,8.31,8.96,1.346,3.0352020263671875,13.37,5.99737548828125,1.32,3821.27490234375,0.433,43.65,6.68974494934082,5.668,12.82,13.088693618774414,20.78,5.83,3.07,4.159033298492432,0.8946188688278198,2.677237033843994,4.547003269195557,3.2958755493164062,2.8965907096862797,3.163283586502075,86.68,3.09,32.27,24.08,18.73,18.03,26.16,35.11,12.13211154937744,18.96,3.22,4.947701930999756,6.18356990814209,7.62
