,VIVO4,AMBV4,B3SA3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,CCRO3,CMIG4,CESP6,CIEL3,CPLE6,CSAN3,CPFE3,CYRE3,ELET3,ELET6,EMBR3,FIBR3,GFSA3,GGBR4,GOAU4,GOLL4,GVTT3,ITSA4,ITUB4,JBSS3,PRML3,LAME4,LREN3,MMXM3,MRVE3,NATU3,NETC4,OGXP3,PCAR5,PDGR3,PETR3,PETR4,RDCD3,RSID3,CSNA3,CRUZ3,TAMM4,TNLP4,TCSL4,USIM3,USIM5,VALE3,VALE5,ALLL11
2009-09-15,37.88,24.45,7.33248233795166,6.391,12.0123291015625,12.532758712768556,5.768755435943604,20.95400619506836,4.699900627136231,2.8469295501708984,10.651,4.872970581054688,1.397,3.026825189590454,7.741937637329102,15.70242691040039,13.080418586730955,11.244,9.185726165771484,23.71788787841797,646.1433715820312,15.969073295593262,17.971281051635742,17.627317428588867,41.8,2.836642026901245,9.304410934448242,6.1460700035095215,29.19286727905273,2.282,3.852646589279175,1219.1978759765625,5.387162208557129,11.25,19.49,1150.0,47.98,2938.5322265625,18.57247734069824,13.975916862487791,25.799999237060547,295.6247253417969,14.377524375915527,9.25,22.9,29.0,4.26,18.48004722595215,18.1669979095459,19.796337127685547,23.86,13.03
2009-09-16,38.31,24.91,7.461988925933838,6.527,12.28097438812256,12.710927963256836,5.800107955932617,20.891313552856445,4.79691743850708,2.8949878215789795,10.871,5.195784091949463,1.435,3.07102370262146,7.751531600952148,15.881443977355955,13.218595504760742,11.346,9.17707061767578,24.20860481262207,663.6705322265625,16.530487060546875,18.673093795776367,18.001752853393555,41.51,2.864840030670166,9.429439544677734,6.687234401702881,29.33956527709961,2.319,3.9323151111602783,1226.7470703125,5.40663480758667,11.17,19.36,1168.0,48.16,2906.4755859375,18.904451370239254,14.373437881469728,26.399999618530277,311.18389892578125,14.856771469116213,9.3,23.05,28.93,4.44,18.934646606445312,18.8697452545166,20.18243789672852,24.21,13.29
2009-09-17,38.31,24.96,7.492823123931885,6.541,12.304001808166504,12.86302661895752,5.753079891204834,20.37630653381348,4.849276065826416,2.887672185897827,10.955,5.438664436340332,1.435,3.0451149940490723,7.792303562164307,15.344389915466309,13.246231079101562,11.405,9.151094436645508,23.80785369873047,651.536376953125,16.703763961791992,18.792150497436523,17.809734344482422,40.21,2.8535616397857666,9.432211875915527,6.741349697113037,28.36157989501953,2.282,3.914889097213745,1186.484619140625,5.257351875305176,11.21,19.55,1180.0,48.87,2927.8466796875,18.92751121520996,14.352514266967772,27.440000534057617,304.3195495605469,14.785572052001951,9.49,22.7,29.05,4.44,18.65104103088379,18.77738380432129,19.93172836303711,23.97,12.78
2009-09-18,38.58,25.07,7.628494262695312,6.568,12.369245529174805,12.954285621643066,5.695600986480713,20.980876922607425,4.759960174560547,2.869913339614868,11.099,5.595461368560791,1.458,3.039016962051392,7.725150108337402,15.031110763549805,13.218595504760742,11.286,9.0731782913208,23.3253173828125,641.424560546875,16.82158851623535,19.04906463623047,18.04975700378418,40.22,2.864840030670166,9.487781524658203,6.841851711273193,29.779659271240234,2.306,3.9335567951202393,1212.9068603515625,5.273580074310303,11.28,19.6,1219.949951171875,49.14,2949.217529296875,18.94595718383789,14.498970985412598,28.5,312.32794189453125,15.053949356079102,9.56,22.76,29.49,4.44,18.563457489013672,18.87375831604004,20.05207252502441,24.29,12.91
2009-09-21,38.31,25.2,7.628494262695312,6.507,12.411462783813477,12.81956386566162,5.821009159088135,21.83175468444824,4.679881572723389,2.843794584274292,10.871,5.703065872192383,1.452,3.0481624603271484,7.782711982727051,15.242095947265623,12.827101707458496,11.218,8.97794246673584,23.6361026763916,637.3798217773438,16.981000900268555,19.143047332763672,17.85774040222168,40.25,2.864840030670166,9.418316841125488,6.725887298583984,30.317550659179688,2.314,3.877542972564697,1251.9111328125,5.239503383636475,11.25,19.51,1230.0,49.15,2981.2744140625,18.97362327575684,14.478045463562012,28.84000015258789,320.565185546875,15.023825645446776,9.73,22.45,29.93,4.44,19.14318084716797,18.897855758666992,20.39805221557617,24.71,12.93
2009-09-22,38.62,25.02,7.560661315917969,6.541,12.756864547729492,13.071194648742676,5.930740833282471,21.813844680786133,4.627523422241211,2.818720817565918,10.896,5.549345970153809,1.444,3.154847860336304,7.732345104217529,15.715214729309082,12.854738235473633,11.261,9.436796188354492,24.282211303710938,638.0540161132812,17.119625091552734,19.425029754638672,17.85774040222168,40.31,2.876118898391724,9.459989547729492,6.9578142166137695,30.85544204711914,2.319,3.821525812149048,1333.6942138671875,5.233012676239014,11.27,19.5,1265.0,49.12,3034.702392578125,19.056623458862305,14.574289321899414,28.61000061035156,347.1073608398437,14.993701934814451,9.71,22.21,30.2,4.39,19.46014404296875,19.122732162475582,20.944602966308597,25.35,12.92
2009-09-23,37.88,25.0,7.585324287414551,6.418,12.549617767333984,12.795692443847656,5.847135543823242,21.38840103149414,4.596724510192871,2.8051323890686035,10.752,5.380249977111816,1.421,3.0329220294952397,7.612427711486816,15.088651657104492,12.79025650024414,11.193,9.583974838256836,24.527568817138672,609.0668334960938,16.6760311126709,18.77334976196289,17.185672760009766,40.36,2.8338212966918945,9.304410934448242,6.973275184631348,30.073055267333984,2.257,3.683352470397949,1288.3990478515625,5.127540111541748,11.19,19.32,1295.0,48.24,2981.2744140625,18.65547180175781,14.335776329040527,27.399999618530277,330.8617248535156,14.692461013793944,9.56,21.61,30.16,4.23,18.9179630279541,18.833606719970703,20.73903083801269,25.03,12.93
2009-09-24,37.7,24.95,7.81350040435791,6.377,12.28097438812256,12.725716590881348,5.883712768554688,20.91370391845703,4.575165748596191,2.774842977523804,10.684,5.494004726409912,1.432,2.9887232780456543,7.61002779006958,14.70504093170166,12.615234375,11.048,9.350221633911133,23.80785369873047,598.9550170898438,16.46116828918457,18.76708030700684,17.262481689453125,40.61,2.808444023132324,9.209954261779783,7.066047668457031,30.36645126342773,2.261,3.715717315673828,1299.7227783203125,5.387162208557129,11.25,19.7,1272.010009765625,48.97,3002.645263671875,18.281991958618164,14.143295288085938,27.850000381469727,320.7939758300781,14.487069129943848,9.49,21.49,29.93,4.3,18.8929386138916,18.71714782714844,20.377992630004883,24.75,13.24
2009-09-25,36.79,24.69,7.893673419952393,6.418,12.16584014892578,12.90939235687256,5.888937950134277,21.00775146484375,4.522808074951172,2.81140398979187,10.71,5.487855911254883,1.446,2.9719583988189697,7.76832103729248,15.18455410003662,12.555360794067385,10.963,9.107808113098145,24.37217330932617,603.3367919921875,16.398794174194336,18.648033142089844,17.84813690185547,40.71,2.8225436210632324,9.25995922088623,7.09697151184082,30.46424865722656,2.319,3.790405750274658,1302.2392578125,5.39527702331543,11.31,20.02,1285.0,48.77,3034.702392578125,18.328102111816406,14.273008346557615,28.15999984741211,333.83624267578125,14.435033798217772,9.49,21.6,29.66,4.23,19.08061981201172,18.833606719970703,20.403064727783203,24.86,13.32
2009-09-28,37.45,25.01,8.263689994812012,6.541,12.327028274536133,13.11929988861084,5.925516605377197,21.30779838562012,4.490468978881836,2.8082680702209477,10.617,5.5401225090026855,1.435,2.991771697998047,7.7035627365112305,15.210126876831056,12.527729034423828,10.971,9.203041076660156,24.29039001464844,623.5604248046875,16.669105529785156,18.77334976196289,17.809734344482422,40.61,2.8902180194854736,9.465547561645508,7.112432479858398,30.61094665527344,2.314,3.7854273319244394,1307.27197265625,5.370936870574951,11.36,20.27,1330.0,49.15,3184.30029296875,18.81224250793457,14.599397659301758,28.26000022888184,338.4125061035156,14.8430814743042,9.65,21.6,30.24,4.25,19.08061981201172,18.93800926208496,20.74403953552246,25.22,13.62
2009-09-29,37.62,24.91,8.232852935791016,6.719,12.25027561187744,13.368563652038574,5.878487586975098,21.10627174377441,4.6059651374816895,2.81976580619812,10.566,5.367951393127441,1.436,2.9765305519104004,7.720354080200195,14.768978118896484,12.467852592468262,10.929,8.97794246673584,24.04503059387207,609.0668334960938,16.454242706298828,18.60416030883789,17.598512649536133,40.59,2.960709571838379,9.779496192932127,7.112432479858398,31.197738647460938,2.335,3.838951349258423,1327.4031982421875,5.516974449157715,11.34,20.42,1325.0,48.84,3139.4208984375,18.8306884765625,14.549179077148438,27.59000015258789,334.0650634765625,14.651381492614746,9.57,21.39,29.68,4.21,19.09729766845703,18.841630935668945,20.55850601196289,25.02,13.65
2009-09-30,38.92,25.31,8.05401611328125,6.862,12.511244773864746,13.657190322875977,5.883712768554688,21.13762092590332,4.667561531066895,2.820810556411743,10.515,5.404847145080566,1.45,2.9811031818389893,7.660394191741943,14.737009048461914,12.711956977844238,11.116,8.874052047729492,23.77513885498047,599.6292114257812,16.46116828918457,18.5790958404541,17.627317428588867,40.55,3.022744655609131,9.918404579162598,7.127895355224609,31.686731338500977,2.413,3.866340398788452,1371.4403076171875,5.516974449157715,11.51,20.61,1354.989990234375,49.25,3141.557861328125,18.83529663085937,14.645418167114258,27.25,326.056640625,14.892375946044922,9.52,21.16,29.36,4.28,18.89711570739746,18.75730323791504,20.653778076171875,25.06,13.44
2009-10-01,38.76,25.78,7.943009376525879,6.808,12.0123291015625,13.40354824066162,5.753079891204834,20.70770263671875,4.712221145629883,2.7894654273986816,10.49,5.226528644561768,1.436,2.9369051456451416,7.617222309112549,14.225528717041016,12.40337085723877,10.869,8.64895248413086,22.98181533813477,573.0014038085938,16.01759147644043,18.171794891357425,17.089664459228516,40.74,3.011465787887573,9.960082054138184,7.081509113311768,32.42021942138672,2.355,3.746838808059693,1421.7684326171875,5.419615745544434,11.54,21.25,1390.0,49.25,3056.07373046875,18.529483795166016,14.329781532287598,26.899999618530277,304.3195495605469,14.492541313171388,9.54,21.16,28.56,4.21,18.51758575439453,18.40793800354004,20.082149505615234,24.41,13.06
2009-10-02,40.59,25.97,7.943009376525879,6.897,12.28097438812256,13.259238243103027,5.700827121734619,20.42108917236328,4.9047136306762695,2.7737979888916016,10.507,5.257274150848389,1.446,2.955193519592285,7.732345104217529,14.896846771240234,12.619842529296877,11.014,8.7874755859375,23.3089599609375,599.96630859375,16.53741455078125,18.64176177978516,17.608116149902344,40.61,3.019923686981201,10.001753807067873,7.297974586486816,33.00701141357422,2.372,3.821525812149048,1428.0594482421875,5.520219326019287,11.65,21.41,1540.0,49.64,3021.87939453125,18.450714111328125,14.376075744628906,27.5,299.74334716796875,14.665074348449709,9.64,21.9,28.77,4.32,18.66355323791504,18.59265899658203,20.53844451904297,25.05,13.25
2009-10-05,41.41,26.36,8.15884780883789,7.136,12.499731063842772,13.491011619567873,5.935965061187744,20.555442810058597,5.066406726837158,2.814540386199951,10.845,5.447889804840088,1.482,3.1091253757476807,7.888238906860352,15.024718284606934,12.896188735961914,11.227,8.804792404174805,23.897815704345703,603.3367919921875,17.188934326171875,19.493953704833984,17.64651870727539,40.66,3.079138994216919,10.19623565673828,7.576285362243652,33.496002197265625,2.479,4.076709270477295,1472.0965576171875,5.604598045349121,11.81,21.68,1560.02001953125,50.52,3077.4443359375,18.52021789550781,14.498124122619627,28.68000030517578,305.4635925292969,15.059429168701172,10.02,22.21,28.57,4.48,18.8929386138916,18.87375831604004,20.80921936035156,25.46,13.48
2009-10-06,41.01,27.13,8.171186447143555,7.026,12.588000297546388,13.316082954406738,6.249485015869141,21.177927017211918,5.115684509277344,2.827082633972168,10.71,5.533971309661865,1.477,3.1853291988372803,7.845067977905273,15.47865390777588,12.845525741577148,11.227,8.882707595825195,23.6361026763916,612.100341796875,17.535478591918945,19.901256561279297,17.425697326660156,40.91,3.056580781936645,10.057327270507812,7.421669960021973,33.3982048034668,2.536,4.219862461090088,1531.2320556640625,5.679237842559815,11.87,21.91,1520.5,51.71,3173.61474609375,18.68239402770996,14.51496410369873,29.5,302.7178649902344,15.245650291442873,10.1,22.12,29.4,4.52,18.726118087768555,18.793445587158203,20.9997673034668,25.51,13.6
2009-10-07,40.49,26.73,8.19585132598877,6.746,12.856645584106444,12.9881010055542,6.207683086395264,21.04805374145508,5.126466274261475,2.810359239578247,10.845,5.435591220855713,1.488,3.086265087127685,7.866652488708496,15.664066314697266,12.979093551635742,11.227,8.640296936035156,23.71788787841797,612.4374389648438,17.639448165893555,20.114295959472656,17.118467330932617,46.52,2.9804487228393555,9.73781967163086,7.413938999176025,34.71848678588867,2.536,4.2011895179748535,1547.588623046875,5.645163059234619,11.81,21.85,1575.010009765625,51.94,3192.848876953125,18.765792846679688,14.586506843566896,28.709999084472656,305.9212341308594,15.26756191253662,10.04,21.81,28.69,4.62,18.78867530822754,19.074542999267575,21.506202697753903,26.03,13.52
