,AMBV4,ARCZ6,BBDC4,BBAS3,BRTP3,BRTP4,CMIG4,CPLE6,CRTP5,ELET3,ELET6,ELPL4,EMBR3,EMBR4,EBTP3,EBTP4,GGBR4,ITSA4,ITUB4,PETR3,PETR4,SBSP3,CSNA3,CSTB4,CRUZ3,VCPA4,TCOC4,TNEP4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TSPP4,TCSL4,USIM5,VALE3,VALE5
2003-05-12,7.95,4.62,1.148,2.059091567993164,14.3,16.07,2899.514404296875,0.473,30.29,5.176180362701416,4.434,7.03,7.619549751281738,10.57,2.28,2.02,1.8727039098739624,0.6474573612213135,2.0175256729125977,3.2796108722686768,2.435487985610962,2.463165044784546,1.694921612739563,39.41,2.14,16.58,14.38,2.58,14.99,17.39,23.68,23.3,8.729559898376465,9.61,2.34,1.7888227701187134,3.4475128650665283,4.41
2003-05-13,8.03,4.39,1.141,1.9621940851211548,14.16,16.28,2903.989013671875,0.47,30.46,5.335050582885742,4.579,7.03,7.932798862457275,10.95,2.25,1.99,1.8846313953399656,0.6447700262069702,2.0912764072418213,3.336731433868408,2.4741828441619877,2.514232635498047,1.6820968389511108,39.09,2.11,16.02,14.99,2.62,15.35,17.65,24.07,23.79,8.567843437194824,9.84,2.42,1.7970659732818604,3.4434471130371094,4.48
2003-05-14,7.92,4.41,1.162,1.960768699645996,14.01,16.35,2863.717041015625,0.468,30.36,5.270644187927246,4.562,7.0,7.915866374969482,10.7,2.28,2.04,1.8816494941711424,0.6582028269767761,2.050865411758423,3.3254199028015137,2.458249807357788,2.4885692596435547,1.6649984121322632,38.85,2.03,16.01,15.15,2.61,15.6,17.94,24.41,23.79,8.474045753479004,10.11,2.46,1.7805792093276978,3.3706748485565186,4.45
2003-05-15,8.07,4.49,1.127,1.91801917552948,14.11,16.27,2765.277587890625,0.445,29.27,4.980811595916748,4.315,6.45,7.619549751281738,10.84,2.17,1.96,1.8488469123840328,0.6420838236808777,2.030557632446289,3.336731433868408,2.5037732124328613,2.4875328540802,1.605152606964111,38.35,1.99,15.75,14.64,2.48,14.93,17.44,23.42,22.79,8.344670295715332,9.55,2.32,1.6981444358825684,3.441413640975952,4.45
2003-05-16,8.03,4.51,1.114,1.966469407081604,14.17,16.23,2853.873779296875,0.449,30.11,4.918552398681641,4.281,6.58,7.763473033905029,10.69,2.24,2.04,1.889402747154236,0.6447700262069702,2.020557403564453,3.3282485008239746,2.4719064235687256,2.511122941970825,1.609427571296692,38.2,2.0,15.71,14.64,2.55,15.2,17.64,23.42,23.46,8.441701889038086,9.5,2.41,1.680009365081787,3.4353160858154297,4.43
2003-05-19,7.87,4.57,1.1,1.9094698429107664,13.67,15.79,2698.158447265625,0.427,28.92,4.658776760101318,4.06,6.27,7.467154502868652,10.38,2.13,1.92,1.8428837060928345,0.636710524559021,1.990249514579773,3.1953437328338623,2.399979829788208,2.464720726013184,1.5966037511825562,36.63,1.96,15.71,13.61,2.43,14.39,16.74,22.09,22.37,8.377012252807617,8.9,2.27,1.6536297798156738,3.496297597885132,4.54
2003-05-20,7.77,4.62,1.073,1.9237191677093504,13.66,15.79,2667.733154296875,0.421,28.42,4.551431179046631,4.034,6.48,7.450226306915283,10.59,2.1,1.91,1.8065029382705688,0.6232776045799255,1.9498354196548464,3.2349326610565186,2.41727876663208,2.419874429702759,1.6393500566482544,35.99,1.97,15.91,13.89,2.41,14.39,16.92,21.3,21.86,8.247640609741211,9.16,2.24,1.6321979761123655,3.5820798873901367,4.6
2003-05-21,7.94,4.62,1.121,1.966469407081604,13.63,15.79,2791.230224609375,0.433,29.06,4.787590026855469,4.179,6.63,7.49255895614624,10.43,2.22,2.01,1.795170545578003,0.6420838236808777,2.0306589603424072,3.280176877975464,2.435487985610962,2.396285057067871,1.675684928894043,36.83,1.98,15.71,14.32,2.47,15.0,17.42,21.62,22.55,8.312329292297363,9.43,2.32,1.681657791137695,3.5776073932647705,4.55
2003-05-22,8.01,4.51,1.107,1.9735935926437376,13.54,15.62,2801.07421875,0.443,28.84,4.851996898651123,4.238,6.41,7.534887790679932,10.39,2.3,2.07,1.7701215744018557,0.6608898043632507,2.0306589603424072,3.302798271179199,2.4218311309814453,2.388507843017578,1.6585866212844849,37.1,2.06,15.53,14.26,2.45,15.36,17.75,21.02,22.29,8.279984474182129,9.43,2.34,1.6536297798156738,3.513779401779175,4.55
2003-05-23,8.06,4.42,1.073,1.9949681758880613,13.54,15.79,2814.49755859375,0.441,29.1,4.851996898651123,4.281,6.31,7.424826622009277,10.39,2.33,2.15,1.7414953708648682,0.6582028269767761,2.055917739868164,3.251899003982544,2.4263837337493896,2.445019245147705,1.6243888139724731,37.06,2.12,15.22,14.46,2.47,15.43,17.97,21.59,22.46,8.338201522827148,9.48,2.34,1.6981444358825684,3.536545991897583,4.51
2003-05-26,8.07,4.59,1.073,1.9450950622558596,13.38,15.34,2684.73486328125,0.419,28.24,4.658776760101318,4.085,5.76,7.450226306915283,10.44,2.39,2.19,1.729567289352417,0.6313376426696777,1.9872194528579712,3.184032678604126,2.369478702545166,2.3734734058380127,1.5987406969070437,36.69,2.06,15.27,13.63,2.41,15.09,17.45,20.91,21.62,8.085920333862305,9.01,2.21,1.683306097984314,3.5613455772399902,4.6
2003-05-27,8.03,4.77,1.127,1.9963929653167725,13.88,15.93,2760.802490234375,0.441,28.51,4.785443305969238,4.238,5.8,7.458693027496338,10.4,2.49,2.26,1.7593859434127808,0.6582028269767761,2.050865411758423,3.257554769515991,2.4259285926818848,2.441909074783325,1.6329381465911863,36.23,2.11,15.68,14.42,2.46,15.58,18.15,22.02,22.46,8.085920333862305,9.52,2.32,1.7063884735107422,3.6186697483062735,4.6
2003-05-28,8.09,4.78,1.141,2.064793109893799,14.05,16.23,2762.59228515625,0.427,28.63,4.8090596199035645,4.264,5.7,7.450226306915283,10.53,2.61,2.26,1.789207100868225,0.6582028269767761,2.081173896789551,3.2869627475738525,2.4404966831207275,2.463165044784546,1.6308006048202517,36.3,2.12,16.63,14.62,2.46,15.49,17.93,23.12,22.62,8.085920333862305,9.5,2.27,1.7344157695770264,3.6300511360168457,4.69
2003-05-29,7.94,4.7,1.141,2.1232171058654785,14.11,16.07,2738.43017578125,0.433,28.24,4.970077037811279,4.409,5.79,7.450226306915283,10.67,2.69,2.4,1.819026589393616,0.6770086288452148,2.08127498626709,3.223621368408203,2.399979829788208,2.511381149291992,1.6243888139724731,36.17,2.15,17.01,14.83,2.45,15.59,17.93,23.85,22.7,8.085920333862305,9.77,2.27,1.7805792093276978,3.5776073932647705,4.6
2003-05-30,7.84,4.77,1.141,2.180215835571289,14.16,16.18,2685.630126953125,0.433,27.99,5.0065741539001465,4.375,5.62,7.5856852531433105,10.83,2.65,2.44,1.821412682533264,0.6662623286247253,2.020557403564453,3.280176877975464,2.4036221504211426,2.5116405487060547,1.6308006048202517,37.23,2.2,17.19,15.09,2.48,15.35,17.94,23.12,23.21,8.11826229095459,9.9,2.27,1.795417308807373,3.5776073932647705,4.6
2003-06-02,7.71,4.98,1.141,2.251464605331421,14.31,16.07,2622.986328125,0.427,27.49,4.935727119445801,4.366,5.7,7.619549751281738,10.89,2.64,2.33,1.7623693943023682,0.6420838236808777,2.010453939437866,3.2349326610565186,2.3876895904541016,2.4932358264923096,1.5966037511825562,38.66,2.25,17.57,14.69,2.41,14.81,17.31,21.77,23.63,7.988888263702393,9.71,2.27,1.7970659732818604,3.557279348373413,4.51
2003-06-03,7.75,4.88,1.141,2.3626129627227783,14.31,15.9,2631.041259765625,0.426,27.15,5.021603584289551,4.434,5.92,7.814271926879883,10.83,2.69,2.47,1.7414953708648682,0.6528297662734985,2.000251054763794,3.212310791015625,2.3854124546051025,2.4494261741638184,1.6243888139724731,40.03,2.25,17.71,14.92,2.45,14.9,17.3,22.29,23.79,7.988888263702393,9.91,2.28,1.7970659732818604,3.549148797988892,4.54
2003-06-04,7.92,4.88,1.155,2.251464605331421,14.74,16.67,2716.05810546875,0.452,28.24,5.216970920562744,4.647,6.09,8.178317070007324,11.28,2.79,2.56,1.794575333595276,0.6608898043632507,2.025606632232666,3.319765090942383,2.458249807357788,2.527712345123291,1.6906473636627195,39.94,2.27,17.39,14.73,2.52,15.33,18.05,23.82,24.29,8.166777610778809,9.87,2.41,1.8679591417312624,3.545083522796631,4.54
2003-06-05,7.79,4.85,1.141,2.1616904735565186,14.66,16.76,2752.7490234375,0.457,28.24,5.088157176971436,4.494,6.24,8.330705642700195,11.52,2.92,2.7,1.796364188194275,0.6555161476135254,2.015505313873291,3.302798271179199,2.453697681427002,2.6150717735290527,1.7675917148590088,40.47,2.28,17.33,14.38,2.5,15.7,18.3,24.49,24.55,8.150609970092773,9.71,2.28,1.8877438306808472,3.516624927520752,4.54
2003-06-06,7.9,4.9,1.141,2.2087149620056152,14.82,16.99,2751.853759765625,0.47,28.5,5.171885967254639,4.562,6.15,8.576226234436035,12.06,2.92,2.72,1.8607748746871948,0.6555161476135254,2.023890495300293,3.3480424880981445,2.4723620414733887,2.638401985168457,1.744080901145935,40.05,2.24,17.54,14.89,2.58,15.67,18.34,24.51,24.55,8.247640609741211,9.98,2.41,1.9025814533233645,3.613789558410645,4.57
2003-06-09,7.8,4.84,1.141,2.251464605331421,14.7,16.59,2710.6884765625,0.457,28.59,5.088157176971436,4.477,6.31,8.432304382324219,11.71,2.98,2.81,1.8876127004623413,0.6689494252204895,2.0230815410614014,3.280176877975464,2.4673545360565186,2.6498076915740967,1.7825533151626587,40.3,2.24,17.3,14.72,2.55,15.5,18.13,23.29,24.38,8.092386245727539,9.9,2.38,1.9289606809616089,3.5613455772399902,4.54
2003-06-10,7.9,4.77,1.134,2.3027634620666504,14.57,16.46,2701.73876953125,0.444,28.46,4.980811595916748,4.409,6.11,9.499040603637695,13.67,3.18,3.03,1.8691242933273315,0.6582028269767761,2.0165162086486816,3.2405877113342285,2.411816120147705,2.617664098739624,1.7675917148590088,39.73,2.2,17.08,14.77,2.48,15.27,17.94,23.1,24.47,7.924202919006348,9.87,2.27,1.950392723083496,3.520691156387329,4.49
2003-06-11,7.75,4.77,1.114,2.230088949203491,14.3,16.26,2698.158447265625,0.449,28.16,4.952902317047119,4.375,6.1,9.499040603637695,13.55,3.3,3.17,1.8905954360961916,0.6608898043632507,2.015505313873291,3.2807421684265137,2.435487985610962,2.638401985168457,1.7376688718795776,39.09,2.2,16.85,14.59,2.45,15.05,17.76,22.84,23.88,7.862748622894287,9.73,2.28,1.9372040033340452,3.4967050552368164,4.48
2003-06-12,7.94,4.77,1.127,2.2015905380249023,14.56,16.55,2729.4814453125,0.463,28.84,4.970077037811279,4.4,6.24,9.693760871887209,13.9,3.13,3.02,1.9800552129745483,0.6501432061195374,2.020557403564453,3.324854850769043,2.4737277030944824,2.6726198196411133,1.7675917148590088,39.9,2.28,16.84,14.69,2.46,15.61,18.12,23.27,24.38,7.988888263702393,9.8,2.27,2.0344767570495605,3.4475128650665283,4.45
