,ACES4,AMBV4,ARCZ6,ARCE3,BBDC4,BRAP4,BBAS3,BRTP3,BRTP4,BRKM5,CMET4,CCRO3,CMIG4,CPLE6,ELET3,ELET6,ELPL4,EMBR4,EBTP4,GGBR4,GOAU4,GOLL4,PTIP4,ITSA4,ITUB4,KLBN4,LAME4,NATU3,NETC4,PCAR4,PETR3,PETR4,SBSP3,SDIA4,CSNA3,CRUZ3,VCPA4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TCSL4,UBBR11,USIM5,VALE3,VALE5,VIVO4
2006-06-22,33.93,13.97,10.58,33.01,3.882,6.8121018409729,6.781470775604248,26.37,11.88,6.156537055969238,,2.472921133041382,2.367363929748535,0.795,9.135066032409668,7.405,15.1,,3.53,9.44822120666504,10.182467460632324,71.08423614501953,15.77,2.0776913166046143,5.9616546630859375,,1.461,7.03,18.05,53.08,10.044127464294434,7.732065677642822,4.239900588989258,5.14,5.45538330078125,3.78,29.98,37.73,16.2,25.47,33.52,11.918645858764648,4.77,12.35,11.65784740447998,12.02807903289795,13.66,17.84
2006-06-23,34.01,13.78,10.54,34.3,3.889,6.7737250328063965,6.5620222091674805,26.2,11.94,6.16645097732544,,2.4997546672821045,2.3412342071533203,0.802,8.963315963745117,7.379,15.36,,3.53,9.467275619506836,10.042981147766112,70.96304321289062,16.61,2.036090850830078,6.071774959564209,,1.453,6.9,18.21,51.89,10.383456230163574,7.720585346221924,4.21708869934082,5.17,5.5314717292785645,3.71,29.82,37.78,16.4,25.51,33.6,11.999506950378418,4.84,12.44,11.705658912658691,12.001246452331545,13.82,18.53
2006-06-26,34.12,13.69,10.56,33.67,3.889,6.648037910461426,6.540645599365234,26.35,11.9,6.077226161956787,,2.4785706996917725,2.3412342071533203,0.844,8.716421127319336,7.218,15.19,,3.53,9.530797004699709,10.296847343444824,68.94004821777344,16.22,2.245083332061768,6.062684059143066,,1.428,6.81,17.89,51.09,10.338211059570312,7.850669384002685,4.21708869934082,5.14,5.369033336639404,3.75,29.54,36.97,16.05,25.77,32.93,12.064196586608888,4.95,12.54,11.821069717407228,12.074426651000977,14.02,18.46
2006-06-27,33.89,13.65,10.56,32.71,3.814,6.648037910461426,6.547773838043213,26.04,11.81,6.146623134613037,,2.4587976932525635,2.4091720581054688,0.838,8.92037582397461,7.584,15.29,,3.53,9.530797004699709,10.296847343444824,68.98665618896484,15.95,2.0409839153289795,5.884871482849121,,1.448,6.64,17.74,51.18,10.23867416381836,7.850669384002685,4.403471946716309,5.31,5.4203290939331055,3.85,29.18,37.37,15.95,25.64,33.52,12.031847953796388,4.87,12.09,11.68917179107666,11.857330322265623,13.66,18.12
2006-06-28,34.3,13.86,10.37,32.25,3.786,6.658590316772461,6.754391193389893,26.99,11.74,6.290374279022217,,2.4023070335388184,2.4091720581054688,0.844,9.31325912475586,7.899,15.3,,3.53,9.543496131896973,10.33590316772461,67.92390441894531,16.15,2.006723165512085,5.869715690612793,,1.428,6.51,17.89,53.15,10.440011978149414,7.768410682678223,4.504829406738281,5.22,5.565670490264893,3.93,28.45,37.37,15.94,25.64,32.76,12.064196586608888,4.87,12.15,12.116181373596191,12.037836074829102,13.97,18.87
2006-06-29,34.72,14.45,10.79,,4.108,6.668186187744141,7.110637664794922,27.58,12.18,6.587792873382568,,2.519526720046997,2.4718825817108154,0.875,10.195634841918944,8.486,16.52,,3.52,9.781689643859863,10.44748878479004,70.38504028320312,17.56,1.9944870471954343,6.243522644042969,,1.494,6.59,18.69,53.57,10.768027305603027,7.919531345367432,4.378067493438721,5.42,5.933295249938965,3.91,30.32,39.48,17.02,26.87,32.43,12.290594100952148,5.26,12.87,12.546490669250488,12.537888526916504,14.48,19.09
2006-06-30,33.09,14.62,10.89,,4.148,6.975210666656494,7.122040748596191,27.52,12.21,6.587792873382568,,2.4997546672821045,2.5920801162719727,0.857,10.09043788909912,8.418,17.3,,3.54,10.270774841308594,11.01938247680664,71.78343200683594,17.6,2.1290855407714844,6.374855995178223,,1.551,6.88,18.53,53.55,10.949004173278809,8.225601196289062,4.654661178588867,5.66,5.941842079162598,3.96,30.81,39.67,16.9,27.15,32.59,12.61403465270996,5.19,12.92,12.802035331726074,12.752544403076172,14.62,18.28
2006-07-03,34.88,15.25,11.24,,4.333,7.099937915802002,7.140562057495117,28.04,12.51,6.592748165130615,,2.6197986602783203,2.5554983615875244,0.894,10.4876127243042,8.622,17.2,,3.54,10.33746337890625,11.158869743347168,71.6808853149414,17.22,2.1339778900146484,6.637532711029053,,1.613,7.28,18.69,54.93,11.077946662902832,8.260032653808594,4.6660685539245605,5.62,6.113687992095947,3.93,30.91,41.22,17.2,27.48,32.59,12.452315330505373,5.45,13.93,13.021310806274414,13.074529647827148,14.95,17.88
2006-07-04,34.97,15.3,11.24,,4.34,7.283194065093994,7.110637664794922,28.33,12.43,6.518394947052002,,2.5915536880493164,2.6704702377319336,0.891,10.391002655029297,8.486,17.7,,3.51,10.57565689086914,11.42668342590332,71.87665557861328,17.02,2.202500343322754,6.587013244628906,,1.641,7.34,18.53,54.39,10.903759002685549,8.340376853942871,4.7697577476501465,5.52,6.1213812828063965,3.96,30.74,40.72,17.58,28.34,33.18,12.610800743103027,5.52,13.95,13.10704231262207,13.02574348449707,14.97,18.04
2006-07-05,33.88,14.93,11.04,31.76,4.244,7.32061243057251,6.741570472717285,26.2,11.58,6.126795768737793,,2.457385778427124,2.67569637298584,0.857,9.961623191833496,8.103,16.75,,3.52,10.65505599975586,11.493635177612305,73.0419692993164,16.43,2.202500343322754,6.425370216369629,,1.576,7.17,17.89,52.53,10.924115180969238,8.304031372070312,4.746687412261963,5.38,6.0085296630859375,3.99,30.91,38.31,16.83,26.87,32.25,12.345585823059082,5.34,13.29,13.024606704711914,12.589113235473633,14.64,17.18
